id,smirks,sources
EVODEX-Nm1,[H][C:69]([C:54])([C:67])[O:70][H]>>[C:54][C:69]([C:67])=[O:70],"EVODEX-P3,EVODEX-P29"
EVODEX-Nm2,[O:5][C:6]([O:7])([C:37])[H:53].[H][O:50][C:49]>>[C:6]([O:7])([C:37])([O:50][C:49])[H:53].[O:5],"EVODEX-P4,EVODEX-P50"
EVODEX-Nm3,C[O:5][P:2]>>[H][O:5][P:2],"EVODEX-P5,EVODEX-P51,EVODEX-P96"
EVODEX-Nm4,O[C:6]([O:7])([C:37])[H:53].[H][O:50][C:49]>>[C:6]([O:7])([C:37])([O:50][C:49])[H:53],"EVODEX-P6,EVODEX-P52"
EVODEX-Nm5,[H][O:50][C:49]>>C[O:50][C:49],"EVODEX-P7,EVODEX-P49,EVODEX-P54"
EVODEX-Nm6,O[C:6]([O:7])([C:37])[H:53]>>O[C:6]([O:7])([C:37])[H:53],"EVODEX-P8,EVODEX-P53,EVODEX-P65"
EVODEX-Nm7,>>,"EVODEX-P9,EVODEX-P21,EVODEX-P27,EVODEX-P55,EVODEX-P61,EVODEX-P67,EVODEX-P79,EVODEX-P100,EVODEX-P136,EVODEX-P140,EVODEX-P141,EVODEX-P158,EVODEX-P170"
EVODEX-Nm8,[C:6][C:7]([C:8])=[O:9]>>[H][C:7]([C:6])([C:8])[O:9][H],"EVODEX-P11,EVODEX-P116"
EVODEX-Nm9,[H][O:18][P:16].[O:46][P:47](=[O:48])([O:49])[O:50]>>[P:16][O:18][P:47](=[O:48])([O:49])[O:50].[O:46],EVODEX-P13
EVODEX-Nm10,P[O:46][P:43]>>[H][O:46][P:43],"EVODEX-P14,EVODEX-P17,EVODEX-P75"
EVODEX-Nm11,[H][O:18][P:16]>>P[O:18][P:16],EVODEX-P15
EVODEX-Nm12,[H][C:1]([C:2](=[O:3])[C:4])([H:36])[H:37].[O:25][P:26](=[O:27])([O:28])[O:29]>>[C:1](=[C:2]([O:3][P:26](=[O:27])([O:28])[O:29])[C:4])([H:36])[H:37].[O:25],EVODEX-P16
EVODEX-Nm13,[H][C:1]([C:2](=[O:3])[C:4])([H:36])[H:37].O[P:26](=[O:27])([O:28])[O:29]>>[C:1](=[C:2]([O:3][P:26](=[O:27])([O:28])[O:29])[C:4])([H:36])[H:37],EVODEX-P18
EVODEX-Nm14,O[P:26](=[O:27])([O:28])[O:29]>>O[P:26](=[O:27])([O:28])[O:29],"EVODEX-P19,EVODEX-P77"
EVODEX-Nm15,[H][C:1]([C:2](=[O:3])[C:4])([H:36])[H:37]>>P[O:3][C:2](=[C:1]([H:36])[H:37])[C:4],EVODEX-P20
EVODEX-Nm16,[C:7][C:8](=[O:9])[O:10].[H][O:20][H:40]>>[C:7][C:8](=[O:9])[O:20][H:40].[O:10],EVODEX-P22
EVODEX-Nm17,C[O:7][C:8]>>[H][O:7][C:8],"EVODEX-P23,EVODEX-P63,EVODEX-P102,EVODEX-P155,EVODEX-P164,EVODEX-P166"
EVODEX-Nm18,O[C:8]([C:7])=[O:9].[H][O:20][H:40]>>[C:7][C:8](=[O:9])[O:20][H:40],EVODEX-P24
EVODEX-Nm19,[H][O:20][H:40]>>C[O:20][H:40],"EVODEX-P25,EVODEX-P66,EVODEX-P73,EVODEX-P94,EVODEX-P98,EVODEX-P168"
