id,smirks,sources
EVODEX-C1,[#6:4]1:[#6:5]:[#6:6]:[#6:7]:[#7&+:8]:[#6:48]:1>>[#6:4]1=[#6:48]-[#7:8]-[#6:7]=[#6:6]-[#6:5]-1-[#85],"EVODEX-P1,EVODEX-P32"
EVODEX-C2,[#6:4]1:[#6:5]:[#6:6]:[#6:7]:[#7&+:8]:[#6:48]:1.[#85]-[#6@@:69]-[#8:70]-[#85]>>[#6:4]1=[#6:48]-[#7:8]-[#6:7]=[#6:6]-[#6:5]-1-[#85].[#6:69]=[#8:70],"EVODEX-P2,EVODEX-P28,EVODEX-P87"
EVODEX-C3,[H][C:69][O:70][H]>>[C:69]=[O:70],"EVODEX-P3,EVODEX-P29,EVODEX-P88,EVODEX-P138"
EVODEX-C4,[H][O:1].[C:6]>>[O:1][C:6].[H],"EVODEX-P4,EVODEX-P22,EVODEX-P50,EVODEX-P62,EVODEX-P68,EVODEX-P91,EVODEX-P95,EVODEX-P101,EVODEX-P154,EVODEX-P163,EVODEX-P165"
EVODEX-C5,[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:5])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[C@@]1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H]>>[H][O:5],EVODEX-P5
EVODEX-C6,[H]OP(=O)(O[H])O[C:6].[H][O:50]>>[C:6][O:50],"EVODEX-P6,EVODEX-P97"
EVODEX-C7,[H][O:50]>>[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:50])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[C@@]1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H],EVODEX-P7
EVODEX-C8,[H]OP(=O)(O[H])O[C:6]>>[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[C:6],EVODEX-P8
EVODEX-C9,>>[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O.[H],EVODEX-P9
EVODEX-C10,[#6:7]=[#8:9].[#6:13]1=[#6:14]-[#7:15]-[#6:55]=[#6:56]-[#6:57]-1-[#85]>>[#85]-[#6@:7]-[#8:9]-[#85].[#6:13]1:[#6:14]:[#7&+:15]:[#6:55]:[#6:56]:[#6:57]:1,"EVODEX-P10,EVODEX-P115,EVODEX-P159,EVODEX-P161"
EVODEX-C11,[C:7]=[O:9]>>[H][C:7][O:9][H],"EVODEX-P11,EVODEX-P116,EVODEX-P160,EVODEX-P162"
EVODEX-C12,[#6:13]1=[#6:14]-[#7:15]-[#6:55]=[#6:56]-[#6:57]-1-[#85]>>[#6:13]1:[#6:14]:[#7&+:15]:[#6:55]:[#6:56]:[#6:57]:1,"EVODEX-P12,EVODEX-P83"
EVODEX-C13,[H][O:18].[P:47]>>[O:18][P:47].[H],"EVODEX-P13,EVODEX-P74"
