#E    u32a
4.500 13.089
4.662 13.410
4.823 13.727
4.985 14.043
5.146 14.361
5.308 14.668
5.469 14.983
5.631 15.298
5.792 15.610
5.954 16.314
6.115 16.254
6.277 16.579
6.438 16.907
6.600 17.245
6.762 17.582
6.923 17.928
7.085 18.283
7.246 18.634
7.408 19.004
7.569 19.372
7.731 19.765
7.892 20.174
8.054 20.591
8.215 21.021
8.377 21.490
8.538 21.965
8.700 22.487
8.862 23.021
9.023 24.314
9.185 24.274
9.346 25.039
9.508 25.814
9.689 26.654
9.878 27.934
10.000 28.973
10.067 29.614
10.256 31.814
10.444 34.814
10.500 36.708
10.675 41.711
