id,smirks,sources
EVODEX-Em1,[C:1][C:2]([C:3])([C:4])[O:6].[H][O:18][H:36]>>[C:1][C:2]([C:3])([C:4])[O:18][H:36].[O:6],EVODEX-P1
EVODEX-Em2,C[O:7][C:8]>>[H][O:7][C:8],"EVODEX-P2,EVODEX-P54,EVODEX-P111,EVODEX-P169,EVODEX-P177,EVODEX-P186,EVODEX-P500,EVODEX-P512,EVODEX-P557,EVODEX-P571,EVODEX-P757,EVODEX-P806,EVODEX-P810,EVODEX-P813,EVODEX-P909,EVODEX-P983,EVODEX-P1005,EVODEX-P1017,EVODEX-P1099,EVODEX-P1154,EVODEX-P1240,EVODEX-P1283,EVODEX-P1321,EVODEX-P1386,EVODEX-P1581,EVODEX-P1592,EVODEX-P1647,EVODEX-P1784,EVODEX-P1800,EVODEX-P1857,EVODEX-P1884,EVODEX-P1904"
EVODEX-Em3,O[C:2]([C:1])([C:3])[C:4].[H][O:18][H:36]>>[C:1][C:2]([C:3])([C:4])[O:18][H:36],EVODEX-P3
EVODEX-Em4,[H][O:1][H:36]>>C[O:1][H:36],"EVODEX-P4,EVODEX-P46,EVODEX-P53,EVODEX-P89,EVODEX-P132,EVODEX-P136,EVODEX-P180,EVODEX-P188,EVODEX-P202,EVODEX-P245,EVODEX-P276,EVODEX-P284,EVODEX-P324,EVODEX-P362,EVODEX-P370,EVODEX-P452,EVODEX-P502,EVODEX-P508,EVODEX-P520,EVODEX-P555,EVODEX-P603,EVODEX-P651,EVODEX-P665,EVODEX-P731,EVODEX-P754,EVODEX-P795,EVODEX-P853,EVODEX-P865,EVODEX-P889,EVODEX-P902,EVODEX-P911,EVODEX-P922,EVODEX-P970,EVODEX-P985,EVODEX-P1019,EVODEX-P1030,EVODEX-P1091,EVODEX-P1102,EVODEX-P1130,EVODEX-P1156,EVODEX-P1196,EVODEX-P1217,EVODEX-P1284,EVODEX-P1330,EVODEX-P1392,EVODEX-P1493,EVODEX-P1497,EVODEX-P1516,EVODEX-P1594,EVODEX-P1624,EVODEX-P1630,EVODEX-P1636,EVODEX-P1643,EVODEX-P1720,EVODEX-P1739,EVODEX-P1761,EVODEX-P1786,EVODEX-P1802,EVODEX-P1867,EVODEX-P1886,EVODEX-P1894,EVODEX-P1898"
EVODEX-Em5,O[C:2]([C:1])([C:3])[C:4]>>O[C:2]([C:1])([C:3])[C:4],EVODEX-P5
EVODEX-Em6,>>,"EVODEX-P6,EVODEX-P27,EVODEX-P39,EVODEX-P48,EVODEX-P55,EVODEX-P64,EVODEX-P70,EVODEX-P76,EVODEX-P82,EVODEX-P91,EVODEX-P97,EVODEX-P107,EVODEX-P115,EVODEX-P118,EVODEX-P133,EVODEX-P139,EVODEX-P145,EVODEX-P151,EVODEX-P173,EVODEX-P190,EVODEX-P197,EVODEX-P198,EVODEX-P204,EVODEX-P209,EVODEX-P228,EVODEX-P229,EVODEX-P238,EVODEX-P243,EVODEX-P257,EVODEX-P274,EVODEX-P286,EVODEX-P295,EVODEX-P310,EVODEX-P316,EVODEX-P327,EVODEX-P339,EVODEX-P358,EVODEX-P359,EVODEX-P360,EVODEX-P363,EVODEX-P368,EVODEX-P371,EVODEX-P381,EVODEX-P407,EVODEX-P429,EVODEX-P430,EVODEX-P455,EVODEX-P493,EVODEX-P504,EVODEX-P510,EVODEX-P516,EVODEX-P522,EVODEX-P532,EVODEX-P537,EVODEX-P552,EVODEX-P558,EVODEX-P573,EVODEX-P575,EVODEX-P583,EVODEX-P588,EVODEX-P594,EVODEX-P600,EVODEX-P606,EVODEX-P612,EVODEX-P620,EVODEX-P653,EVODEX-P667,EVODEX-P673,EVODEX-P681,EVODEX-P686,EVODEX-P691,EVODEX-P699,EVODEX-P715,EVODEX-P722,EVODEX-P728,EVODEX-P734,EVODEX-P740,EVODEX-P746,EVODEX-P750,EVODEX-P755,EVODEX-P760,EVODEX-P786,EVODEX-P792,EVODEX-P798,EVODEX-P804,EVODEX-P811,EVODEX-P816,EVODEX-P830,EVODEX-P835,EVODEX-P841,EVODEX-P849,EVODEX-P855,EVODEX-P866,EVODEX-P885,EVODEX-P891,EVODEX-P904,EVODEX-P913,EVODEX-P924,EVODEX-P938,EVODEX-P963,EVODEX-P972,EVODEX-P981,EVODEX-P987,EVODEX-P1008,EVODEX-P1015,EVODEX-P1021,EVODEX-P1026,EVODEX-P1032,EVODEX-P1038,EVODEX-P1044,EVODEX-P1053,EVODEX-P1082,EVODEX-P1087,EVODEX-P1093,EVODEX-P1097,EVODEX-P1105,EVODEX-P1110,EVODEX-P1116,EVODEX-P1118,EVODEX-P1132,EVODEX-P1141,EVODEX-P1152,EVODEX-P1158,EVODEX-P1181,EVODEX-P1186,EVODEX-P1187,EVODEX-P1203,EVODEX-P1213,EVODEX-P1219,EVODEX-P1223,EVODEX-P1228,EVODEX-P1229,EVODEX-P1235,EVODEX-P1243,EVODEX-P1256,EVODEX-P1262,EVODEX-P1267,EVODEX-P1272,EVODEX-P1290,EVODEX-P1298,EVODEX-P1311,EVODEX-P1324,EVODEX-P1332,EVODEX-P1340,EVODEX-P1356,EVODEX-P1362,EVODEX-P1367,EVODEX-P1375,EVODEX-P1382,EVODEX-P1389,EVODEX-P1394,EVODEX-P1414,EVODEX-P1422,EVODEX-P1451,EVODEX-P1465,EVODEX-P1466,EVODEX-P1476,EVODEX-P1495,EVODEX-P1498,EVODEX-P1519,EVODEX-P1542,EVODEX-P1548,EVODEX-P1558,EVODEX-P1563,EVODEX-P1565,EVODEX-P1584,EVODEX-P1596,EVODEX-P1621,EVODEX-P1627,EVODEX-P1633,EVODEX-P1639,EVODEX-P1645,EVODEX-P1650,EVODEX-P1651,EVODEX-P1662,EVODEX-P1680,EVODEX-P1685,EVODEX-P1691,EVODEX-P1696,EVODEX-P1723,EVODEX-P1728,EVODEX-P1734,EVODEX-P1745,EVODEX-P1746,EVODEX-P1755,EVODEX-P1764,EVODEX-P1774,EVODEX-P1782,EVODEX-P1788,EVODEX-P1793,EVODEX-P1804,EVODEX-P1810,EVODEX-P1823,EVODEX-P1840,EVODEX-P1845,EVODEX-P1855,EVODEX-P1861,EVODEX-P1871,EVODEX-P1877,EVODEX-P1882,EVODEX-P1888,EVODEX-P1900,EVODEX-P1908"
EVODEX-Em7,[H][C:2]([N:1])([C:3])[H:15].[O:11]=[O:12].[H][O:10][H]>>[C:2]([C:3])(=[O:10])[H:15].[N:1].[H][O:11][O:12][H],"EVODEX-P7,EVODEX-P1054"
EVODEX-Em8,[H][C:2](N)([C:3])[H:15].[H][O:10][H]>>[C:2]([C:3])(=[O:10])[H:15],"EVODEX-P8,EVODEX-P1055"
EVODEX-Em9,[H][C:2](N)([C:3])[H:15]>>O=[C:2]([C:3])[H:15],"EVODEX-P9,EVODEX-P1056"
EVODEX-Em10,[H][C:2](N)([C:3])[H:15].[O:11]=[O:12].[H][O:10][H]>>[C:2]([C:3])(=[O:10])[H:15].[H][O:11][O:12][H],"EVODEX-P10,EVODEX-P1057"
