id,formula,sources
EVODEX-F65,"{'O': 16, 'C': 30, 'P': 1, 'N': 6, 'H': 45}","EVODEX-P107,EVODEX-P1375"
EVODEX-F66,"{'O': 5, 'C': 6, 'H': 10}","EVODEX-P114,EVODEX-P245,EVODEX-P427,EVODEX-P514,EVODEX-P515,EVODEX-P671,EVODEX-P731,EVODEX-P784,EVODEX-P1086,EVODEX-P1310,EVODEX-P1366,EVODEX-P1594,EVODEX-P1744,EVODEX-P1853,EVODEX-P1876"
EVODEX-F67,"{'O': 1, 'C': 4, 'H': 6}","EVODEX-P116,EVODEX-P1030"
EVODEX-F68,"{'O': -3, 'C': -5, 'H': -6}","EVODEX-P117,EVODEX-P959"
EVODEX-F69,"{'C': 1, 'N': 1, 'H': 5}",EVODEX-P118
EVODEX-F70,"{'S': -1, 'O': -16, 'C': -21, 'P': -3, 'N': -7, 'H': -36}","EVODEX-P120,EVODEX-P142,EVODEX-P307,EVODEX-P507,EVODEX-P609,EVODEX-P832,EVODEX-P1113,EVODEX-P1120,EVODEX-P1139,EVODEX-P1379"
EVODEX-F71,"{'O': -3, 'C': -6, 'N': -1, 'H': -11}",EVODEX-P121
EVODEX-F72,"{'S': -1, 'O': -16, 'C': -20, 'P': -3, 'N': -6, 'H': -31}",EVODEX-P122
EVODEX-F73,"{'O': -1, 'C': -1}","EVODEX-P123,EVODEX-P289,EVODEX-P390,EVODEX-P458,EVODEX-P469,EVODEX-P590,EVODEX-P698,EVODEX-P764,EVODEX-P778,EVODEX-P895,EVODEX-P905,EVODEX-P1079,EVODEX-P1123,EVODEX-P1133,EVODEX-P1371,EVODEX-P1572,EVODEX-P1612,EVODEX-P1769"
EVODEX-F74,"{'C': -1, 'N': -1, 'H': -5}",EVODEX-P124
EVODEX-F75,"{'O': 3, 'C': 5, 'H': 6}","EVODEX-P125,EVODEX-P962"
EVODEX-F76,"{'S': -1, 'O': -18, 'C': -22, 'P': -3, 'N': -7, 'H': -36}","EVODEX-P126,EVODEX-P1126"
EVODEX-F77,"{'N': 4, 'O': 1, 'C': 5, 'H': 3}",EVODEX-P128
EVODEX-F78,"{'O': 1, 'H': 1}","EVODEX-P130,EVODEX-P1210,EVODEX-P1277,EVODEX-P1509,EVODEX-P1514,EVODEX-P1736,EVODEX-P1759,EVODEX-P1864,EVODEX-P1892"
EVODEX-F79,"{'O': 1, 'C': 5, 'N': 4, 'H': 2}",EVODEX-P132
EVODEX-F80,"{'N': -2, 'O': -9, 'C': -9, 'P': -1, 'H': -13}",EVODEX-P135
EVODEX-F81,"{'O': 2, 'C': 6, 'N': 1, 'H': 3}","EVODEX-P136,EVODEX-P555"
EVODEX-F82,"{'O': -2, 'C': -6, 'N': -1, 'H': -3}","EVODEX-P138,EVODEX-P355,EVODEX-P503,EVODEX-P557,EVODEX-P757,EVODEX-P912,EVODEX-P986,EVODEX-P1020,EVODEX-P1649,EVODEX-P1787"
EVODEX-F83,"{'O': -1, 'C': -16, 'H': -30}",EVODEX-P141
EVODEX-F84,"{'O': 1, 'C': 16, 'H': 30}","EVODEX-P143,EVODEX-P630,EVODEX-P1381"
EVODEX-F85,"{'S': -1, 'O': -13, 'C': -14, 'P': -3, 'N': -6, 'H': -20}",EVODEX-P144
EVODEX-F86,"{'O': 3, 'C': 7, 'N': 1, 'H': 16}",EVODEX-P145
EVODEX-F87,"{'O': -2, 'C': -2, 'N': -1, 'H': -5}","EVODEX-P147,EVODEX-P1216"
EVODEX-F88,"{'C': 3, 'N': 1, 'H': 7}","EVODEX-P148,EVODEX-P1064"
EVODEX-F89,"{'C': 1, 'N': 2, 'H': 2}",EVODEX-P149
EVODEX-F90,"{'C': -1, 'N': -1, 'H': -1}","EVODEX-P150,EVODEX-P400,EVODEX-P966"
EVODEX-F91,"{'N': 2, 'O': 2, 'C': 5, 'H': 12}","EVODEX-P151,EVODEX-P1542"
EVODEX-F92,"{'S': 1, 'O': 4, 'C': 5, 'N': 1, 'H': 11}",EVODEX-P153
EVODEX-F93,"{'S': 1, 'O': 4, 'C': 5, 'N': 1, 'H': 9}",EVODEX-P156
EVODEX-F94,"{'S': 1, 'O': 3, 'C': 5, 'N': 1, 'H': 9}",EVODEX-P158
EVODEX-F95,"{'S': 1, 'O': 3, 'C': 5, 'N': 1, 'H': 7}",EVODEX-P159
EVODEX-F96,{'O': -1},"EVODEX-P160,EVODEX-P164,EVODEX-P341,EVODEX-P439,EVODEX-P446,EVODEX-P772,EVODEX-P776,EVODEX-P950,EVODEX-P1169,EVODEX-P1188,EVODEX-P1467,EVODEX-P1601,EVODEX-P1606,EVODEX-P1669,EVODEX-P1711,EVODEX-P1747,EVODEX-P1765"
EVODEX-F97,"{'O': 1, 'H': -1}","EVODEX-P161,EVODEX-P443,EVODEX-P483,EVODEX-P485,EVODEX-P948,EVODEX-P1600,EVODEX-P1665"
EVODEX-F98,"{'O': -2, 'H': 2}","EVODEX-P163,EVODEX-P383"
EVODEX-F99,"{'O': -6, 'C': -3, 'P': -1, 'H': -5}","EVODEX-P165,EVODEX-P435"
EVODEX-F100,"{'O': -2, 'C': -6, 'N': -2, 'H': -10}",EVODEX-P169
EVODEX-F101,"{'O': -1, 'C': -7, 'H': -8}","EVODEX-P170,EVODEX-P1155"
EVODEX-F102,"{'O': 2, 'C': 3, 'N': 1, 'H': 5}","EVODEX-P171,EVODEX-P202,EVODEX-P1689,EVODEX-P1859"
EVODEX-F103,"{'O': 2, 'C': 6, 'N': 2, 'H': 10}",EVODEX-P172
EVODEX-F104,"{'O': 3, 'C': 10, 'N': 1, 'H': 13}",EVODEX-P173
EVODEX-F105,"{'O': 1, 'C': 8, 'H': 6}","EVODEX-P180,EVODEX-P937"
EVODEX-F106,"{'C': -8, 'H': -4}",EVODEX-P181
EVODEX-F107,"{'O': 2, 'N': -1, 'H': 1}","EVODEX-P183,EVODEX-P333"
EVODEX-F108,"{'O': 2, 'H': 4}","EVODEX-P184,EVODEX-P334,EVODEX-P1519"
EVODEX-F109,"{'O': -4, 'C': -8, 'H': -8}",EVODEX-P187
EVODEX-F110,"{'O': -3, 'C': -8, 'H': -6}",EVODEX-P189
