id,mass,sources
EVODEX-M1,0.0,"EVODEX-P361,EVODEX-P1496,EVODEX-P1776,EVODEX-P229,EVODEX-P318,EVODEX-P401,EVODEX-P288,EVODEX-P381,EVODEX-P906,EVODEX-P965,EVODEX-P275,EVODEX-P410,EVODEX-P926,EVODEX-P299,EVODEX-P49,EVODEX-P369,EVODEX-P360,EVODEX-P1159,EVODEX-P459,EVODEX-P939,EVODEX-P359,EVODEX-P753,EVODEX-P231,EVODEX-P1452,EVODEX-P1798,EVODEX-P373,EVODEX-P252,EVODEX-P1134,EVODEX-P296,EVODEX-P302,EVODEX-P290,EVODEX-P1204,EVODEX-P892,EVODEX-P1181,EVODEX-P191,EVODEX-P1229,EVODEX-P198,EVODEX-P1797,EVODEX-P574,EVODEX-P952,EVODEX-P954,EVODEX-P1535,EVODEX-P956,EVODEX-P278,EVODEX-P166,EVODEX-P470,EVODEX-P1423,EVODEX-P1517,EVODEX-P133,EVODEX-P1236,EVODEX-P399"
EVODEX-M2,-67.04225000000001,EVODEX-P2
EVODEX-M3,-180.06336000000002,"EVODEX-P1006,EVODEX-P513,EVODEX-P758,EVODEX-P572,EVODEX-P1593,EVODEX-P178,EVODEX-P51,EVODEX-P1742,EVODEX-P3"
EVODEX-M4,67.04225000000001,EVODEX-P4
EVODEX-M5,-162.0528,"EVODEX-P806,EVODEX-P759,EVODEX-P813,EVODEX-P782,EVODEX-P1873,EVODEX-P177,EVODEX-P669,EVODEX-P1592,EVODEX-P1005,EVODEX-P425,EVODEX-P5,EVODEX-P1595,EVODEX-P512,EVODEX-P571,EVODEX-P1386,EVODEX-P111,EVODEX-P1321,EVODEX-P733,EVODEX-P95,EVODEX-P1099,EVODEX-P113,EVODEX-P52"
EVODEX-M6,18.010559999999998,"EVODEX-P327,EVODEX-P1633,EVODEX-P1332,EVODEX-P606,EVODEX-P1639,EVODEX-P1596,EVODEX-P558,EVODEX-P1723,EVODEX-P371,EVODEX-P755,EVODEX-P1032,EVODEX-P1650,EVODEX-P1793,EVODEX-P1498,EVODEX-P1394,EVODEX-P455,EVODEX-P1093,EVODEX-P190,EVODEX-P1495,EVODEX-P1804,EVODEX-P139,EVODEX-P1021,EVODEX-P277,EVODEX-P1219,EVODEX-P816,EVODEX-P972,EVODEX-P64,EVODEX-P532,EVODEX-P1788,EVODEX-P913,EVODEX-P1528,EVODEX-P1141,EVODEX-P653,EVODEX-P924,EVODEX-P91,EVODEX-P204,EVODEX-P286,EVODEX-P522,EVODEX-P811,EVODEX-P1324,EVODEX-P6,EVODEX-P552,EVODEX-P681,EVODEX-P1243,EVODEX-P1823,EVODEX-P1161,EVODEX-P1356,EVODEX-P27,EVODEX-P48,EVODEX-P1132,EVODEX-P1728,EVODEX-P667,EVODEX-P1105,EVODEX-P855,EVODEX-P798,EVODEX-P510,EVODEX-P987,EVODEX-P1238,EVODEX-P1627,EVODEX-P1584,EVODEX-P904,EVODEX-P1235,EVODEX-P1645,EVODEX-P760,EVODEX-P197,EVODEX-P55,EVODEX-P358,EVODEX-P1267,EVODEX-P504,EVODEX-P363,EVODEX-P866,EVODEX-P70,EVODEX-P1900,EVODEX-P841,EVODEX-P891,EVODEX-P1888,EVODEX-P1158,EVODEX-P734,EVODEX-P573"
EVODEX-M7,-19.04225,"EVODEX-P8,EVODEX-P1429,EVODEX-P1405,EVODEX-P868"
EVODEX-M8,-1.0316900000000002,"EVODEX-P565,EVODEX-P1483,EVODEX-P1304,EVODEX-P9,EVODEX-P395,EVODEX-P1430,EVODEX-P1406"
EVODEX-M9,-17.02659,"EVODEX-P1029,EVODEX-P323,EVODEX-P451,EVODEX-P650,EVODEX-P1725"
EVODEX-M10,15.9949,"EVODEX-P944,EVODEX-P779,EVODEX-P1760,EVODEX-P1598,EVODEX-P1400,EVODEX-P1740,EVODEX-P1532,EVODEX-P1664,EVODEX-P1502,EVODEX-P11,EVODEX-P773,EVODEX-P1198,EVODEX-P1512,EVODEX-P440,EVODEX-P1208,EVODEX-P131,EVODEX-P870,EVODEX-P155,EVODEX-P1058,EVODEX-P1893,EVODEX-P1432"
EVODEX-M11,-2.01566,"EVODEX-P1369,EVODEX-P1608,EVODEX-P1675,EVODEX-P1590,EVODEX-P1511,EVODEX-P1737,EVODEX-P856,EVODEX-P438,EVODEX-P655,EVODEX-P1763,EVODEX-P449,EVODEX-P129,EVODEX-P57,EVODEX-P301,EVODEX-P976,EVODEX-P247,EVODEX-P1245,EVODEX-P1698,EVODEX-P1758,EVODEX-P675,EVODEX-P1588,EVODEX-P222,EVODEX-P879,EVODEX-P1377,EVODEX-P1891,EVODEX-P353,EVODEX-P1416,EVODEX-P1197,EVODEX-P1207,EVODEX-P1487,EVODEX-P752,EVODEX-P42,EVODEX-P1165,EVODEX-P251,EVODEX-P85,EVODEX-P633,EVODEX-P991,EVODEX-P217,EVODEX-P375,EVODEX-P496,EVODEX-P1275,EVODEX-P1869,EVODEX-P157,EVODEX-P642,EVODEX-P1489,EVODEX-P101,EVODEX-P524,EVODEX-P1048"
EVODEX-M12,0.9839699999999996,"EVODEX-P182,EVODEX-P652,EVODEX-P453,EVODEX-P325,EVODEX-P549,EVODEX-P1031,EVODEX-P332,EVODEX-P1726"
EVODEX-M13,-104.06264,EVODEX-P15
