MICROEXP	SIMNAME	SELCOEF	TIMEMUT
LARGEsLATEt	1	0.035	275
LARGEsLATEt	2	0.035	275
LARGEsEARLYt	1	0.035	225
LARGEsEARLYt	2	0.035	225
MIDsLATEt	1	0.03	300
MIDsLATEt	2	0.03	300
MIDsEARLYt	1	0.03	250
MIDsEARLYt	2	0.03	250
SMALLsEARLYt	1	0.025	275
SMALLsEARLYt	2	0.025	275
SMALLsLATEt	1	0.025	325
SMALLsLATEt	2	0.025	325
TINYsEARLYt	1	0.015	325
TINYsEARLYt	2	0.015	325
MODESTsEARLYt	1	0.02	250
MODESTsEARLYt	2	0.02	250
MODESTsLATEt	1	0.02	300
MODESTsLATEt	2	0.02	300
TINYsLATEt	171	0.015	375
TINYsLATEt	172	0.015	375
