Equity,CDS 5y,is_price,is_cds,is_fundamentals
ABI BB Equity,CY021331,True,True,True
CVS US Equity,CCVS1U5,True,True,True
DTE GR Equity,CDT1E5,True,True,True
GS US Equity,CGS1U5,True,True,True
PFE US Equity,CPFE1U5,True,True,True
BAC US Equity,CBAC1U5,True,True,True
WBD US Equity,CY915321,True,False,True
BA US Equity,CBA1U5,True,True,True
T US Equity,CSBC1U5,True,True,True
WFC US Equity,CWFC1U5,True,True,True
ABBV US Equity,CY372240,True,True,True
JPM US Equity,CJPM1U5,True,True,True
AMGN US Equity,CAMG1U5,True,True,True
MSFT US Equity,CX399237,True,True,True
2456828D US Equity,,False,False,False
VZ US Equity,CVZGF1U5,True,True,True
V US Equity,,True,False,True
CMCSA US Equity,CT363688,True,True,True
1392012D US Equity,,False,False,False
C US Equity,CCGI1U5,True,True,True
AAPL US Equity,CY179834,True,True,True
CI US Equity,CY497792,True,True,True
UBSG SW Equity,CY350672,True,True,True
1019Z BZ Equity,,False,False,True
AER US Equity,CILFC1U5,True,True,True
SATS US Equity,,True,False,True
6902Z US Equity,,False,False,False
2442837D US Equity,,False,False,False
DAL US Equity,CDAL1U5,True,True,True
BAYN GR Equity,CBAYR1E5,True,True,True
BT/A LN Equity,CBT1E5,True,True,True
CNC US Equity,,True,False,True
AMZN US Equity,CY372412,True,True,True
HD US Equity,CHD1U5,True,True,True
MS US Equity,CMWD1U5,True,True,True
CHTR US Equity,CX356815,True,True,True
TEVA IT Equity,CT366416,True,True,True
ORCL US Equity,CX356615,True,True,True
SHEL LN Equity,CT365980,True,True,True
AZN LN Equity,CAZN1E5,True,True,True
2411380D US Equity,,False,False,False
BMY US Equity,CBMY1U5,True,True,True
RABO NA Equity,CRAB1E5,False,True,True
ABT US Equity,CABT1U5,True,True,True
GSK LN Equity,CGSK1E5,True,True,True
IBM US Equity,CIBM1U5,True,True,True
RTX US Equity,CUTX1U5,True,True,True
ORA FP Equity,CFTEL1E5,True,True,True
HSBA LN Equity,CT786869,True,True,True
4502 JP Equity,CY371861,True,True,True
BX US Equity,,True,False,True
AVGO US Equity,CY907035,True,True,True
INTEQ US Equity,,True,False,True
TDG US Equity,CY325820,True,True,True
FI US Equity,CX657286,True,True,True
META US Equity,,True,False,True
9432 JP Equity,CNTT1J5,True,True,True
3328 HK Equity,CY279979,True,True,True
CCL US Equity,CCCL1U5,True,True,True
GILD US Equity,CT406631,True,True,True
BP/ LN Equity,CBPLN1E5,True,True,True
PCG US Equity,CT372104,True,True,True
PNC US Equity,CT718513,True,True,True
DELL US Equity,CDELL1U5,True,True,True
QSR CN Equity,,True,False,True
VOW GR Equity,CVW1E5,True,True,True
2366640D JY Equity,,False,False,False
CSCO US Equity,CT363444,True,True,True
THC US Equity,CTHC1U5,True,True,True
UAL US Equity,CX404178,True,True,True
TD CN Equity,CT416751,True,True,True
BARC LN Equity,CY349126,True,True,True
HPE US Equity,,True,False,True
DVA US Equity,CX374716,True,True,True
BNS CN Equity,CT355296,True,True,True
1990502D JY Equity,,False,False,False
HCA US Equity,CHCA1U5,True,True,True
BABA US Equity,CY380761,True,True,True
CYH US Equity,CX376424,True,True,True
BRK/A US Equity,CX357111,True,True,True
XOM US Equity,CXOMU5,True,True,True
8750 JP Equity,CT355568,True,True,True
7201 JP Equity,CNISS1J5,True,True,True
700 HK Equity,CY380677,True,True,True
RKT LN Equity,CY349307,True,True,True
0063225Z US Equity,,False,False,False
BHP AU Equity,CBHP1U5,True,True,True
BNP FP Equity,CBNP1E5,True,True,True
ENB CN Equity,CX357135,True,True,True
8306 JP Equity,CMTF1J5,True,True,True
AAL US Equity,CAMR1U5,True,True,True
SAN SM Equity,CBSH1E5,True,True,True
WDC US Equity,CY444625,True,True,True
INTC US Equity,CX398909,True,True,True
PM US Equity,CT852162,True,True,True
KHC US Equity,CHNZ1U5,True,True,True
8316 JP Equity,CSMB1J5,True,True,True
9875574Z US Equity,,False,False,False
TEF SM Equity,CTLFO1E5,True,True,True
AXP US Equity,CAXP1U5,True,True,True
DD US Equity,CDD1U5,True,True,True
1858390D LN Equity,CY503508,False,True,False
ALLY US Equity,CGMAC1U5,True,True,True
VTRS US Equity,,True,False,True
1986902D US Equity,,False,False,False
DIS US Equity,CY430095,True,True,True
BATS LN Equity,CBAT1E5,True,True,True
CVX US Equity,CCVX1U5,True,True,True
RY CN Equity,CT718581,True,True,True
UNH US Equity,CT350857,True,True,True
4755 JP Equity,CY365933,True,True,True
AMXB MM Equity,CX353398,True,True,True
F US Equity,CFM1U5,True,True,True
VOD LN Equity,CVOD1E5,True,True,True
CZR US Equity,CY855412,True,True,True
4068781Z FP Equity,,False,False,True
CVNA US Equity,CY865997,True,True,True
JBSS3 BZ Equity,CY124264,True,True,True
USB US Equity,CX376136,True,True,True
CS FP Equity,CAXA1E5,True,True,True
LLOY LN Equity,CT706822,True,True,True
SQ US Equity,,True,False,True
NEE US Equity,CT403401,True,True,True
MO US Equity,CMO1U5,True,True,True
TFC US Equity,CT406031,True,True,True
GM US Equity,CY075977,True,True,True
VSAT US Equity,,True,False,True
NWL US Equity,CNWL1U5,True,True,True
FOXA US Equity,,True,False,True
0017 JP Equity,CY341463,False,True,True
SSNC US Equity,,True,False,True
AON US Equity,CAOC1U5,True,True,True
0221781D US Equity,,False,False,False
1705569D CN Equity,,False,False,False
NFLX US Equity,CY444848,True,True,True
OGN US Equity,CY884395,True,True,True
STAN LN Equity,CSTC1E5,True,True,True
COF US Equity,CT353808,True,True,True
TAP US Equity,CT655698,True,True,True
SAN FP Equity,CAVE1E5,True,True,True
JNJ US Equity,CJNJ1U5,True,True,True
LNG US Equity,CY430548,True,True,True
MCFE US Equity,,True,False,True
QCOM US Equity,,True,False,True
NOC US Equity,CNOC1U5,True,True,True
BN FP Equity,CBSN1E5,True,True,True
GOOGL US Equity,CX410247,True,True,True
HLN LN Equity,,True,False,True
LVS US Equity,CX375336,True,True,True
GLE FP Equity,CSOC1E5,True,True,True
BMO CN Equity,CT718557,True,True,True
1876241D US Equity,,False,False,False
ATUS US Equity,,True,False,True
MDT US Equity,CT426330,True,True,True
1396924D US Equity,,True,False,True
21380Z US Equity,,False,False,False
LUV US Equity,CLUV1U5,True,True,True
MBG GR Equity,CDCX1E5,True,True,True
7518716Z FP Equity,,False,False,False
ENEL IM Equity,CENEL1E5,True,True,True
SIE GR Equity,CSIEM1E5,True,True,True
OXY US Equity,COXY1U5,True,True,True
GEHC US Equity,CY885897,True,True,True
000415 CH Equity,,True,False,True
SUZB3 BZ Equity,,True,False,True
ISP IM Equity,CBCI1E5,True,True,True
COP US Equity,CCOC1U5,True,True,True
ROG SW Equity,CROCH1E5,True,True,True
APO US Equity,,True,False,True
CARR US Equity,,True,False,True
ET US Equity,CY325977,True,True,True
RCI/B CN Equity,,True,False,True
NWG LN Equity,CT413383,True,True,True
TTE FP Equity,CTELF1E5,True,True,True
WMT US Equity,CWMT1U5,True,True,True
HAL US Equity,CHAL1U5,True,True,True
BIIB US Equity,,True,False,True
MCD US Equity,CMCD1U5,True,True,True
HON US Equity,CHON1U5,True,True,True
NESN SW Equity,CNESN1E5,True,True,True
FM CN Equity,,True,False,True
1 HK Equity,CHWAM1U5,True,True,True
DBK GR Equity,CDB1E5,True,True,True
SO US Equity,CSO1U5,True,True,True
9719029Z GR Equity,,False,False,False
NOVN SW Equity,CNOVA1E5,True,True,True
INGA NA Equity,CINT1E5,True,True,True
KO US Equity,CKO1U5,True,True,True
8411 JP Equity,CMIZ1J5,True,True,True
BDX US Equity,CT405795,True,True,True
MRK US Equity,CMRK1U5,True,True,True
MC FP Equity,CMOET1E5,True,True,True
3692594Z FP Equity,,False,False,True
1412575D LX Equity,,False,False,False
WFRD US Equity,,True,False,True
UPS US Equity,CT353627,True,True,True
LUMN US Equity,CCTL1U5,True,True,True
OMF US Equity,,True,False,True
SOLV US Equity,,True,False,True
IBE SM Equity,CIBER1E5,True,True,True
KMI US Equity,CKMI1U5,True,True,True
FCX US Equity,CX355476,True,True,True
BHC CN Equity,CT370648,True,True,True
TMO US Equity,CT355328,True,True,True
2266141D JY Equity,,False,False,False
ALV GR Equity,CALZ1E5,True,True,True
0771772D US Equity,,False,False,False
CM CN Equity,CT718565,True,True,True
BLK US Equity,,True,False,True
MUV2 GR Equity,CMURE1E5,True,True,True
1022337Z UH Equity,CX855707,False,True,False
ENI IM Equity,CENI1E5,True,True,True
OKE US Equity,COKE1U5,True,True,True
BK US Equity,CT830205,True,True,True
GTLS US Equity,,True,False,True
DHR US Equity,CDHR1U5,True,True,True
VALE3 BZ Equity,CX353206,True,True,True
1412889D US Equity,,False,False,False
AMT US Equity,CAMT1U5,True,True,True
PRX NA Equity,,True,False,True
WCC US Equity,,True,False,True
1538965D LX Equity,,False,False,False
URI US Equity,CRII1U5,True,True,True
NVDA US Equity,,True,False,True
1812086D LX Equity,,False,False,False
1295999D US Equity,,False,False,False
CFR SW Equity,,True,False,True
ENTG US Equity,,True,False,True
TRP CN Equity,CT350773,True,True,True
MPC US Equity,CY185043,True,True,True
JEF US Equity,CY090578,True,True,True
DE US Equity,CDE1U5,True,True,True
VST US Equity,CY372142,True,True,True
ELV US Equity,CX356751,True,True,True
UBER US Equity,CY510835,True,True,True
LHX US Equity,CT355704,True,True,True
PSX US Equity,,True,False,True
1339681D US Equity,,False,False,False
VLO US Equity,CVLO1U5,True,True,True
HNDL IN Equity,,True,False,True
CLR US Equity,CY317368,True,True,True
1796506D NA Equity,,False,False,False
AVTR US Equity,,True,False,True
IMB LN Equity,CITOB1E5,True,True,True
BA/ LN Equity,CBAE1E5,True,True,True
CIVI US Equity,CY907137,True,True,True
RCL US Equity,CRCL1U5,True,True,True
2906824Q US Equity,,False,False,False
LLY US Equity,CLLY1U5,True,True,True
BMW GR Equity,CBMW1E5,True,True,True
0001 JP Equity,,False,False,True
GMEXICOB MM Equity,,True,False,True
NATL US Equity,,True,False,True
BKNG US Equity,,True,False,True
EN FP Equity,CBOUY1E5,True,True,True
MMC US Equity,CMMC1U5,True,True,True
0205869D US Equity,,False,False,False
GE US Equity,CGE1U5,True,True,True
COST US Equity,CT355428,True,True,True
ANZ AU Equity,CANZ1U5,True,True,True
FYBR US Equity,,True,False,True
WDS AU Equity,CWOOD1U5,True,True,True
FANG US Equity,,True,False,True
LOW US Equity,CLOW1U5,True,True,True
GENT MK Equity,CT400403,True,True,True
ICE US Equity,,True,False,True
FE US Equity,CFE1U5,True,True,True
EQH US Equity,CY378168,True,True,True
EL FP Equity,,True,False,True
BBD/B CN Equity,CBOMB1U5,True,True,True
CB US Equity,CACE1U5,True,True,True
CRM US Equity,,True,False,True
WBC AU Equity,CWBC1U5,True,True,True
1087299D US Equity,,False,False,False
8604 JP Equity,CNMA1J5,True,True,True
ZURN SW Equity,CZURN1E5,True,True,True
UCG IM Equity,CUNI1E5,True,True,True
7709927Z DC Equity,,False,False,False
TLEVICPO MM Equity,CX353462,True,True,True
SBAC US Equity,,True,False,True
TXN US Equity,CTXN1U5,True,True,True
BERY US Equity,CY855429,True,True,True
KER FP Equity,CPRTP1E5,True,True,True
VICI US Equity,,True,False,True
SLB US Equity,CSLB1U5,True,True,True
BBVA SM Equity,CBBV1E5,True,True,True
SCHW US Equity,CSCH1U5,True,True,True
KVUE US Equity,,True,False,True
SHW US Equity,CSHW1U5,True,True,True
NCLH US Equity,CY884472,True,True,True
0221139D US Equity,,False,False,False
DUK US Equity,CDUK1U5,True,True,True
G IM Equity,CASS1E5,True,True,True
CABK SM Equity,CY184542,True,True,True
STLA US Equity,CFIAT1E5,True,True,True
WMB US Equity,CWMB1U5,True,True,True
JAZZ US Equity,,True,False,True
