Intan,Connector,,Array,Bank,elec,label,col,row,probe_group
C-008,C,31,1,C,31,elec1,9,1,ABC
A-007,A,32,2,A,32,elec2,9,2,ABC
A-006,A,30,3,A,30,elec3,9,3,ABC
A-005,A,28,4,A,28,elec4,9,4,ABC
A-004,A,26,5,A,26,elec5,9,5,ABC
A-003,A,24,6,A,24,elec6,9,6,ABC
A-002,A,22,7,A,22,elec7,9,7,ABC
A-000,A,18,8,A,18,elec8,9,8,ABC
C-007,C,32,9,C,32,elec9,8,0,ABC
B-008,B,31,10,B,31,elec10,8,1,ABC
B-009,B,29,11,B,29,elec11,8,2,ABC
B-007,B,32,12,B,32,elec12,8,3,ABC
A-008,A,31,13,A,31,elec13,8,4,ABC
A-009,A,29,14,A,29,elec14,8,5,ABC
A-010,A,27,15,A,27,elec15,8,6,ABC
A-001,A,20,16,A,20,elec16,8,7,ABC
A-031,A,16,17,A,16,elec17,8,8,ABC
A-030,A,14,18,A,14,elec18,8,9,ABC
C-009,C,29,19,C,29,elec19,7,0,ABC
C-006,C,30,20,C,30,elec20,7,1,ABC
B-010,B,27,21,B,27,elec21,7,2,ABC
B-005,B,28,22,B,28,elec22,7,3,ABC
B-006,B,30,23,B,30,elec23,7,4,ABC
A-013,A,21,24,A,21,elec24,7,5,ABC
A-011,A,25,25,A,25,elec25,7,6,ABC
A-012,A,23,26,A,23,elec26,7,7,ABC
A-029,A,12,27,A,12,elec27,7,8,ABC
A-028,A,10,28,A,10,elec28,7,9,ABC
C-005,C,28,29,C,28,elec29,6,0,ABC
C-010,C,27,30,C,27,elec30,6,1,ABC
B-011,B,25,31,B,25,elec31,6,2,ABC
B-004,B,26,32,B,26,elec32,6,3,ABC
B-001,B,20,33,B,20,elec33,6,4,ABC
B-002,B,22,34,B,22,elec34,6,5,ABC
A-014,A,19,35,A,19,elec35,6,6,ABC
A-017,A,13,36,A,13,elec36,6,7,ABC
A-018,A,11,37,A,11,elec37,6,8,ABC
A-027,A,8,38,A,8,elec38,6,9,ABC
C-004,C,26,39,C,26,elec39,5,0,ABC
C-011,C,25,40,C,25,elec40,5,1,ABC
B-012,B,23,41,B,23,elec41,5,2,ABC
B-003,B,24,42,B,24,elec42,5,3,ABC
B-030,B,14,43,B,14,elec43,5,4,ABC
B-000,B,18,44,B,18,elec44,5,5,ABC
A-016,A,15,45,A,15,elec45,5,6,ABC
A-015,A,17,46,A,17,elec46,5,7,ABC
A-019,A,9,47,A,9,elec47,5,8,ABC
A-026,A,6,48,A,6,elec48,5,9,ABC
C-003,C,24,49,C,24,elec49,4,0,ABC
C-012,C,23,50,C,23,elec50,4,1,ABC
B-013,B,21,51,B,21,elec51,4,2,ABC
B-014,B,19,52,B,19,elec52,4,3,ABC
B-029,B,12,53,B,12,elec53,4,4,ABC
B-028,B,10,54,B,10,elec54,4,5,ABC
B-031,B,16,55,B,16,elec55,4,6,ABC
A-021,A,5,56,A,5,elec56,4,7,ABC
A-020,A,7,57,A,7,elec57,4,8,ABC
A-025,A,4,58,A,4,elec58,4,9,ABC
C-013,C,21,59,C,21,elec59,3,0,ABC
C-002,C,22,60,C,22,elec60,3,1,ABC
B-015,B,17,61,B,17,elec61,3,2,ABC
B-016,B,15,62,B,15,elec62,3,3,ABC
B-018,B,11,63,B,11,elec63,3,4,ABC
B-027,B,8,64,B,8,elec64,3,5,ABC
B-026,B,6,65,B,6,elec65,3,6,ABC
B-025,B,4,66,B,4,elec66,3,7,ABC
B-024,B,2,67,B,2,elec67,3,8,ABC
A-022,A,3,68,A,3,elec68,3,9,ABC
C-014,C,19,69,C,19,elec69,2,0,ABC
C-001,C,20,70,C,20,elec70,2,1,ABC
C-000,C,18,71,C,18,elec71,2,2,ABC
B-017,B,13,72,B,13,elec72,2,3,ABC
B-019,B,9,73,B,9,elec73,2,4,ABC
B-020,B,7,74,B,7,elec74,2,5,ABC
B-021,B,5,75,B,5,elec75,2,6,ABC
B-022,B,3,76,B,3,elec76,2,7,ABC
B-023,B,1,77,B,1,elec77,2,8,ABC
A-023,A,1,78,A,1,elec78,2,9,ABC
C-015,C,17,79,C,17,elec79,1,0,ABC
C-031,C,16,80,C,16,elec80,1,1,ABC
C-030,C,14,81,C,14,elec81,1,2,ABC
C-029,C,12,82,C,12,elec82,1,3,ABC
C-028,C,10,83,C,10,elec83,1,4,ABC
C-027,C,8,84,C,8,elec84,1,5,ABC
C-026,C,6,85,C,6,elec85,1,6,ABC
C-025,C,4,86,C,4,elec86,1,7,ABC
C-024,C,2,87,C,2,elec87,1,8,ABC
A-024,A,2,88,A,2,elec88,1,9,ABC
C-016,C,15,89,C,15,elec89,0,1,ABC
C-017,C,13,90,C,13,elec90,0,2,ABC
C-018,C,11,91,C,11,elec91,0,3,ABC
C-019,C,9,92,C,9,elec92,0,4,ABC
C-020,C,7,93,C,7,elec93,0,5,ABC
C-021,C,5,94,C,5,elec94,0,6,ABC
C-022,C,3,95,C,3,elec95,0,7,ABC
C-023,C,1,96,C,1,elec96,0,8,ABC
F-008,F,31,1,F,31,elec1,9,1,FDE
D-007,D,32,2,D,32,elec2,9,2,FDE
D-006,D,30,3,D,30,elec3,9,3,FDE
D-005,D,28,4,D,28,elec4,9,4,FDE
D-004,D,26,5,D,26,elec5,9,5,FDE
D-003,D,24,6,D,24,elec6,9,6,FDE
D-002,D,22,7,D,22,elec7,9,7,FDE
D-000,D,18,8,D,18,elec8,9,8,FDE
F-007,F,32,9,F,32,elec9,8,0,FDE
E-008,E,31,10,E,31,elec10,8,1,FDE
E-009,E,29,11,E,29,elec11,8,2,FDE
E-007,E,32,12,E,32,elec12,8,3,FDE
D-008,D,31,13,D,31,elec13,8,4,FDE
D-009,D,29,14,D,29,elec14,8,5,FDE
D-010,D,27,15,D,27,elec15,8,6,FDE
D-001,D,20,16,D,20,elec16,8,7,FDE
D-031,D,16,17,D,16,elec17,8,8,FDE
D-030,D,14,18,D,14,elec18,8,9,FDE
F-009,F,29,19,F,29,elec19,7,0,FDE
F-006,F,30,20,F,30,elec20,7,1,FDE
E-010,E,27,21,E,27,elec21,7,2,FDE
E-005,E,28,22,E,28,elec22,7,3,FDE
E-006,E,30,23,E,30,elec23,7,4,FDE
D-013,D,21,24,D,21,elec24,7,5,FDE
D-011,D,25,25,D,25,elec25,7,6,FDE
D-012,D,23,26,D,23,elec26,7,7,FDE
D-029,D,12,27,D,12,elec27,7,8,FDE
D-028,D,10,28,D,10,elec28,7,9,FDE
F-005,F,28,29,F,28,elec29,6,0,FDE
F-010,F,27,30,F,27,elec30,6,1,FDE
E-011,E,25,31,E,25,elec31,6,2,FDE
E-004,E,26,32,E,26,elec32,6,3,FDE
E-001,E,20,33,E,20,elec33,6,4,FDE
E-002,E,22,34,E,22,elec34,6,5,FDE
D-014,D,19,35,D,19,elec35,6,6,FDE
D-017,D,13,36,D,13,elec36,6,7,FDE
D-018,D,11,37,D,11,elec37,6,8,FDE
D-027,D,8,38,D,8,elec38,6,9,FDE
F-004,F,26,39,F,26,elec39,5,0,FDE
F-011,F,25,40,F,25,elec40,5,1,FDE
E-012,E,23,41,E,23,elec41,5,2,FDE
E-003,E,24,42,E,24,elec42,5,3,FDE
E-030,E,14,43,E,14,elec43,5,4,FDE
E-000,E,18,44,E,18,elec44,5,5,FDE
D-016,D,15,45,D,15,elec45,5,6,FDE
D-015,D,17,46,D,17,elec46,5,7,FDE
D-019,D,9,47,D,9,elec47,5,8,FDE
D-026,D,6,48,D,6,elec48,5,9,FDE
F-003,F,24,49,F,24,elec49,4,0,FDE
F-012,F,23,50,F,23,elec50,4,1,FDE
E-013,E,21,51,E,21,elec51,4,2,FDE
E-014,E,19,52,E,19,elec52,4,3,FDE
E-029,E,12,53,E,12,elec53,4,4,FDE
E-028,E,10,54,E,10,elec54,4,5,FDE
E-031,E,16,55,E,16,elec55,4,6,FDE
D-021,D,5,56,D,5,elec56,4,7,FDE
D-020,D,7,57,D,7,elec57,4,8,FDE
D-025,D,4,58,D,4,elec58,4,9,FDE
F-013,F,21,59,F,21,elec59,3,0,FDE
F-002,F,22,60,F,22,elec60,3,1,FDE
E-015,E,17,61,E,17,elec61,3,2,FDE
E-016,E,15,62,E,15,elec62,3,3,FDE
E-018,E,11,63,E,11,elec63,3,4,FDE
E-027,E,8,64,E,8,elec64,3,5,FDE
E-026,E,6,65,E,6,elec65,3,6,FDE
E-025,E,4,66,E,4,elec66,3,7,FDE
E-024,E,2,67,E,2,elec67,3,8,FDE
D-022,D,3,68,D,3,elec68,3,9,FDE
F-014,F,19,69,F,19,elec69,2,0,FDE
F-001,F,20,70,F,20,elec70,2,1,FDE
F-000,F,18,71,F,18,elec71,2,2,FDE
E-017,E,13,72,E,13,elec72,2,3,FDE
E-019,E,9,73,E,9,elec73,2,4,FDE
E-020,E,7,74,E,7,elec74,2,5,FDE
E-021,E,5,75,E,5,elec75,2,6,FDE
E-022,E,3,76,E,3,elec76,2,7,FDE
E-023,E,1,77,E,1,elec77,2,8,FDE
D-023,D,1,78,D,1,elec78,2,9,FDE
F-015,F,17,79,F,17,elec79,1,0,FDE
F-031,F,16,80,F,16,elec80,1,1,FDE
F-030,F,14,81,F,14,elec81,1,2,FDE
F-029,F,12,82,F,12,elec82,1,3,FDE
F-028,F,10,83,F,10,elec83,1,4,FDE
F-027,F,8,84,F,8,elec84,1,5,FDE
F-026,F,6,85,F,6,elec85,1,6,FDE
F-025,F,4,86,F,4,elec86,1,7,FDE
F-024,F,2,87,F,2,elec87,1,8,FDE
D-024,D,2,88,D,2,elec88,1,9,FDE
F-016,F,15,89,F,15,elec89,0,1,FDE
F-017,F,13,90,F,13,elec90,0,2,FDE
F-018,F,11,91,F,11,elec91,0,3,FDE
F-019,F,9,92,F,9,elec92,0,4,FDE
F-020,F,7,93,F,7,elec93,0,5,FDE
F-021,F,5,94,F,5,elec94,0,6,FDE
F-022,F,3,95,F,3,elec95,0,7,FDE
F-023,F,1,96,F,1,elec96,0,8,FDE
H-040,H,31,1,H,31,elec1,9,1,GH
G-007,G,32,2,G,32,elec2,9,2,GH
G-006,G,30,3,G,30,elec3,9,3,GH
G-005,G,28,4,G,28,elec4,9,4,GH
G-004,G,26,5,G,26,elec5,9,5,GH
G-003,G,24,6,G,24,elec6,9,6,GH
G-002,G,22,7,G,22,elec7,9,7,GH
G-000,G,18,8,G,18,elec8,9,8,GH
H-007,H,32,9,H,32,elec9,8,0,GH
H-008,H,31,10,H,31,elec10,8,1,GH
H-009,H,29,11,H,29,elec11,8,2,GH
H-007,H,32,12,H,32,elec12,8,3,GH
G-008,G,31,13,G,31,elec13,8,4,GH
G-009,G,29,14,G,29,elec14,8,5,GH
G-010,G,27,15,G,27,elec15,8,6,GH
G-001,G,20,16,G,20,elec16,8,7,GH
G-031,G,16,17,G,16,elec17,8,8,GH
G-030,G,14,18,G,14,elec18,8,9,GH
H-041,H,29,19,H,29,elec19,7,0,GH
H-038,H,30,20,H,30,elec20,7,1,GH
H-010,H,27,21,H,27,elec21,7,2,GH
