Intan,Connector,,Array,Bank,elec,label,col,row,probe_group
H-005,H,28,22,H,28,elec22,7,3,GH
H-006,H,30,23,H,30,elec23,7,4,GH
G-013,G,21,24,G,21,elec24,7,5,GH
G-011,G,25,25,G,25,elec25,7,6,GH
G-012,G,23,26,G,23,elec26,7,7,GH
G-029,G,12,27,G,12,elec27,7,8,GH
G-028,G,10,28,G,10,elec28,7,9,GH
H-037,H,28,29,H,28,elec29,6,0,GH
H-042,H,27,30,H,27,elec30,6,1,GH
H-011,H,25,31,H,25,elec31,6,2,GH
H-004,H,26,32,H,26,elec32,6,3,GH
H-001,H,20,33,H,20,elec33,6,4,GH
H-002,H,22,34,H,22,elec34,6,5,GH
G-014,G,19,35,G,19,elec35,6,6,GH
G-017,G,13,36,G,13,elec36,6,7,GH
G-018,G,11,37,G,11,elec37,6,8,GH
G-027,G,8,38,G,8,elec38,6,9,GH
H-036,H,26,39,H,26,elec39,5,0,GH
H-043,H,25,40,H,25,elec40,5,1,GH
H-012,H,23,41,H,23,elec41,5,2,GH
H-003,H,24,42,H,24,elec42,5,3,GH
H-030,H,14,43,H,14,elec43,5,4,GH
H-000,H,18,44,H,18,elec44,5,5,GH
G-016,G,15,45,G,15,elec45,5,6,GH
G-015,G,17,46,G,17,elec46,5,7,GH
G-019,G,9,47,G,9,elec47,5,8,GH
G-026,G,6,48,G,6,elec48,5,9,GH
H-035,H,24,49,H,24,elec49,4,0,GH
H-044,H,23,50,H,23,elec50,4,1,GH
H-013,H,21,51,H,21,elec51,4,2,GH
H-014,H,19,52,H,19,elec52,4,3,GH
H-029,H,12,53,H,12,elec53,4,4,GH
H-028,H,10,54,H,10,elec54,4,5,GH
H-031,H,16,55,H,16,elec55,4,6,GH
G-021,G,5,56,G,5,elec56,4,7,GH
G-020,G,7,57,G,7,elec57,4,8,GH
G-025,G,4,58,G,4,elec58,4,9,GH
H-045,H,21,59,H,21,elec59,3,0,GH
H-037,H,22,60,H,22,elec60,3,1,GH
H-015,H,17,61,H,17,elec61,3,2,GH
H-016,H,15,62,H,15,elec62,3,3,GH
H-018,H,11,63,H,11,elec63,3,4,GH
H-027,H,8,64,H,8,elec64,3,5,GH
H-026,H,6,65,H,6,elec65,3,6,GH
H-025,H,4,66,H,4,elec66,3,7,GH
H-024,H,2,67,H,2,elec67,3,8,GH
G-022,G,3,68,G,3,elec68,3,9,GH
H-046,H,19,69,H,19,elec69,2,0,GH
H-033,H,20,70,H,20,elec70,2,1,GH
H-032,H,18,71,H,18,elec71,2,2,GH
H-017,H,13,72,H,13,elec72,2,3,GH
H-019,H,9,73,H,9,elec73,2,4,GH
H-020,H,7,74,H,7,elec74,2,5,GH
H-021,H,5,75,H,5,elec75,2,6,GH
H-022,H,3,76,H,3,elec76,2,7,GH
H-023,H,1,77,H,1,elec77,2,8,GH
G-023,G,1,78,G,1,elec78,2,9,GH
H-047,H,17,79,H,17,elec79,1,0,GH
H-063,H,16,80,H,16,elec80,1,1,GH
H-062,H,14,81,H,14,elec81,1,2,GH
H-061,H,12,82,H,12,elec82,1,3,GH
H-060,H,10,83,H,10,elec83,1,4,GH
H-059,H,8,84,H,8,elec84,1,5,GH
H-058,H,6,85,H,6,elec85,1,6,GH
H-057,H,4,86,H,4,elec86,1,7,GH
H-056,H,2,87,H,2,elec87,1,8,GH
G-024,G,2,88,G,2,elec88,1,9,GH
H-048,H,15,89,H,15,elec89,0,1,GH
H-049,H,13,90,H,13,elec90,0,2,GH
H-050,H,11,91,H,11,elec91,0,3,GH
H-051,H,9,92,H,9,elec92,0,4,GH
H-052,H,7,93,H,7,elec93,0,5,GH
H-053,H,5,94,H,5,elec94,0,6,GH
H-054,H,3,95,H,3,elec95,0,7,GH
H-055,H,1,96,H,1,elec96,0,8,GH
