id,sources,smirks
EVODEX-E396,"EVODEX-P1031,EVODEX-P652",[H]N([H])[C:2](=[O:3])[C:4]>>[H]O[C:2](=[O:3])[C:4]
EVODEX-E413,"EVODEX-P1410,EVODEX-P1553,EVODEX-P1707,EVODEX-P578",[O:45]=[C:46][C:48](=[O:49])[C:50]>>[H][C@@:48]([C:46]=[O:45])([O:49][H])[C:50]
EVODEX-E45,"EVODEX-P1517,EVODEX-P49",[H][O:23][C:22].[O:6][C@@:7]([O:8])([C:16])[H:29]>>[C@@:7]([O:8])([C:16])([O:23][C:22])[H:29].[H][O:6]
EVODEX-E51,"EVODEX-P1274,EVODEX-P1326,EVODEX-P1334,EVODEX-P1384,EVODEX-P321,EVODEX-P329,EVODEX-P409,EVODEX-P457,EVODEX-P498,EVODEX-P569,EVODEX-P58,EVODEX-P843,EVODEX-P99",[O:45]=[C:46]([C:47])[C:54]>>[H][O:45][C@@:46]([H])([C:47])[C:54]
EVODEX-E517,"EVODEX-P732,EVODEX-P796",[H]OP(=O)(O[H])O[C@:7]([C:8])([C:16])[H:20]>>[H]O[C@@:7]([C:8])([C:16])[H:20]
EVODEX-E528,"EVODEX-P1377,EVODEX-P1489,EVODEX-P752,EVODEX-P956",[H][C@:2]([C:1])([O:3][H])[C:4]=[O:5]>>[C:1][C:2](=[O:3])[C:4]=[O:5]
EVODEX-E59,"EVODEX-P196,EVODEX-P680",[H]OP(=O)(O[H])O[P:20]([O:19])(=[O:21])[O:22]>>[H]O[P:20]([O:19])(=[O:21])[O:22]
EVODEX-E6,"EVODEX-P1021,EVODEX-P1093,EVODEX-P1158,EVODEX-P1235,EVODEX-P1243,EVODEX-P1332,EVODEX-P139,EVODEX-P1498,EVODEX-P1584,EVODEX-P1627,EVODEX-P1633,EVODEX-P1639,EVODEX-P1650,EVODEX-P1723,EVODEX-P1788,EVODEX-P1804,EVODEX-P1888,EVODEX-P190,EVODEX-P1900,EVODEX-P286,EVODEX-P363,EVODEX-P371,EVODEX-P48,EVODEX-P504,EVODEX-P522,EVODEX-P558,EVODEX-P606,EVODEX-P667,EVODEX-P755,EVODEX-P811,EVODEX-P841,EVODEX-P855,EVODEX-P891,EVODEX-P913,EVODEX-P924,EVODEX-P972,EVODEX-P987",>>[H]O.[H]
EVODEX-E69,"EVODEX-P1036,EVODEX-P791,EVODEX-P80",[H]O[C:16]([C:14])([H:31])[H:32]>>[H]OP(=O)(O[H])O[C:16]([C:14])([H:31])[H:32]
EVODEX-E71,"EVODEX-P115,EVODEX-P1389,EVODEX-P1414,EVODEX-P97",>>[H]OP(O)(=O)O[H].[H]
EVODEX-E72,"EVODEX-P109,EVODEX-P481,EVODEX-P526,EVODEX-P84,EVODEX-P974,EVODEX-P989",[C:1][C:2](=[O:3])[H:55]>>[H][C:2]([C:1])([O:3][H])[H:55]
EVODEX-E763,"EVODEX-P1131,EVODEX-P1644",[H]OP(=O)(O[H])O[C:12]([C:11])([H:31])[H:32]>>[H]O[C:12]([C:11])([H:31])[H:32]
EVODEX-E785,"EVODEX-P1161,EVODEX-P1238",[N:1]#[C:2][C:3]>>[H][N:1]([H])[C:2](=O)[C:3]
EVODEX-E79,"EVODEX-P1266,EVODEX-P254,EVODEX-P96",[H]OP(=O)(O[H])[O:4][C:3]>>[H][O:4][C:3]
EVODEX-E793,"EVODEX-P1188,EVODEX-P1467",[H]O[C:46](=[O:45])[C:48]>>[H][C:46](=[O:45])[C:48]
EVODEX-E800,"EVODEX-P1198,EVODEX-P1208,EVODEX-P1512,EVODEX-P1893",[H][C:7]([C:6])=[O:8]>>[H]O[C:7]([C:6])=[O:8]
EVODEX-E817,"EVODEX-P1245,EVODEX-P1588",[H][O:49][C:50]([H])([O:51])[C:57]>>[O:49]=[C:50]([O:51])[C:57]
EVODEX-E87,"EVODEX-P1321,EVODEX-P571,EVODEX-P813",[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:15][C:14])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]>>[H][O:15][C:14]
