id,smirks,sources
EVODEX-N1,[H][C@:69]([C:54])([C:67])[O:70][H]>>[C:54][C:69]([C:67])=[O:70],"EVODEX-P3,EVODEX-P29"
EVODEX-N2,[O:5][C@@:6]([O:7])([C:37])[H:53].[H][O:50][C:49]>>[C@@:6]([O:7])([C:37])([O:50][C:49])[H:53].[H][O:5],"EVODEX-P4,EVODEX-P50"
EVODEX-N3,[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:5][P:2])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[C@@]1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H]>>[H][O:5][P:2],EVODEX-P5
EVODEX-N4,[H]OP(=O)(O[H])O[C@@:6]([O:7])([C:37])[H:53].[H][O:50][C:49]>>[C@@:6]([O:7])([C:37])([O:50][C:49])[H:53],EVODEX-P6
EVODEX-N5,[H][O:50][C:49]>>[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:50][C:49])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[C@@]1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H],EVODEX-P7
EVODEX-N6,[H]OP(=O)(O[H])O[C@@:6]([O:7])([C:37])[H:53]>>[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[C@@:6]([O:7])([C:37])[H:53],EVODEX-P8
EVODEX-N7,>>[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O.[H],EVODEX-P9
EVODEX-N8,[C:6][C:7]([C:8])=[O:9]>>[H][C@@:7]([C:6])([C:8])[O:9][H],"EVODEX-P11,EVODEX-P116"
EVODEX-N9,[H][O:18][P:16].[O:46][P:47](=[O:48])([O:49])[O:50]>>[P:16][O:18][P:47](=[O:48])([O:49])[O:50].[H][O:46],EVODEX-P13
EVODEX-N10,[H]OP(=O)(O[H])[O:46][P:43]>>[H][O:46][P:43],"EVODEX-P14,EVODEX-P17"
EVODEX-N11,[H][O:18][P:16]>>[H]OP(=O)(O[H])[O:18][P:16],EVODEX-P15
EVODEX-N12,[H][C:1]([C:2](=[O:3])[C:4])([H:36])[H:37].[O:25][P:26](=[O:27])([O:28])[O:29]>>[C:1](=[C:2]([O:3][P:26](=[O:27])([O:28])[O:29])[C:4])([H:36])[H:37].[H][O:25],EVODEX-P16
EVODEX-N13,[H][C:1]([C:2](=[O:3])[C:4])([H:36])[H:37].[H]O[C@@]1([H])C([H])([H])[C@]([H])(N2:C([H]):C(C([H])([H])[H]):C(=O):N([H]):C:2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[P:26](=[O:27])([O:28])[O:29]>>[C:1](=[C:2]([O:3][P:26](=[O:27])([O:28])[O:29])[C:4])([H:36])[H:37],EVODEX-P18
EVODEX-N14,[H]O[C@@]1([H])C([H])([H])[C@]([H])(N2:C([H]):C(C([H])([H])[H]):C(=O):N([H]):C:2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[P:26](=[O:27])([O:28])[O:29]>>[H]OC(=O)C(O[P:26](=[O:27])([O:28])[O:29])=C([H])[H],EVODEX-P19
EVODEX-N15,[H][C:1]([C:2](=[O:3])[C:4])([H:36])[H:37]>>[H]OP(=O)(O[H])[O:3][C:2](=[C:1]([H:36])[H:37])[C:4],EVODEX-P20
EVODEX-N16,>>[H]OC(=O)C(O)=C([H])[H].[H],EVODEX-P21
EVODEX-N17,[C:7][C:8](=[O:9])[O:10].[H][O:20][H:40]>>[C:7][C:8](=[O:9])[O:20][H:40].[H][O:10],EVODEX-P22
EVODEX-N18,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[O:10][C:11]>>[H][O:10][C:11],EVODEX-P23
EVODEX-N19,[H][O:20][H:40]>>[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[O:20][H:40],EVODEX-P25
EVODEX-N20,>>[H]O.[H],"EVODEX-P27,EVODEX-P67,EVODEX-P100,EVODEX-P158,EVODEX-P170"
EVODEX-N21,[H]N([H])[C@@:2]([H])([C:1])[C:4]>>O=[C:2]([C:1])[C:4],"EVODEX-P30,EVODEX-P148"
EVODEX-N22,[H][O:51][H]>>[H]OC(=O)C(C([H])([H])[H])=[O:51],EVODEX-P34
EVODEX-N23,[H]N([H])[C@@:2]([H])([C:1])[C:4].[H][O:51][H]>>[C:1][C:2]([C:4])=[O:51],"EVODEX-P35,EVODEX-P146"
EVODEX-N24,[H]OC(=O)[C@]([H])(C([H])([H])[H])[N:3]([H:56])[H:57]>>[H][N:3]([H:56])[H:57],EVODEX-P36
EVODEX-N25,[H][C@@:2]([C:1])([N:3])[C:4].[H][O:51][H]>>[C:1][C:2]([C:4])=[O:51].[H][N:3],"EVODEX-P37,EVODEX-P149"
EVODEX-N26,[H][C@@:2]([C:1])([N:3])[C:4]>>O=[C:2]([C:1])[C:4].[H][N:3],"EVODEX-P41,EVODEX-P145"
EVODEX-N27,[H][O:10][C:9].[O:1]=[P:2]([O:3])([O:4])[O:5]>>[H][O:5].[O:1]=[P:2]([O:3])([O:4])[O:10][C:9],EVODEX-P43
EVODEX-N28,[#85]-[#6](-[#85])(-[#85])-[#16&+:2](-[#6:3])-[#6:10]>>[#6:3]-[#16:2]-[#6:10],EVODEX-P44
EVODEX-N29,[#85:36]-[#6:1](-[#85:37])(-[#85:38])-[#16&+:2](-[#6:3])-[#6:10].[#85]-[#8:28]-[#6:29]>>[#85:36]-[#6:1](-[#85:37])(-[#85:38])-[#8:28]-[#6:29].[#6:3]-[#16:2]-[#6:10],EVODEX-P45
EVODEX-N30,[#6:1]-[#16&+:2](-[#6:3])-[#6:10]>>[#6:1]-[#8]-[#6]1:[#6](-[#85]):[#6](-[#85]):[#6](-[#85]):[#6](-[#85]):[#6]:1-[#8]-[#85].[#6:3]-[#16:2]-[#6:10],EVODEX-P46
EVODEX-N31,[#85:36]-[#6:1](-[#85:37])(-[#85:38])-[#16&+](-[#6](-[#85])(-[#85])-[#6](-[#85])(-[#85])-[#6@](-[#85])(-[#7](-[#85])-[#85])-[#6](=[#8])-[#8]-[#85])-[#6](-[#85])(-[#85])-[#6@@]1(-[#85])-[#8]-[#6@@](-[#85])(-[#7]2:[#6](-[#85]):[#7]:[#6]3:[#6](-[#7](-[#85])-[#85]):[#7]:[#6](-[#85]):[#7]:[#6]:2:3)-[#6@](-[#85])(-[#8]-[#85])-[#6@]-1(-[#85])-[#8]-[#85].[#85]-[#8:28]-[#6:29]>>[#85:36]-[#6:1](-[#85:37])(-[#85:38])-[#8:28]-[#6:29],EVODEX-P47
