id,formula,sources,mass
EVODEX-M1,,"EVODEX-P1,EVODEX-P10,EVODEX-P32,EVODEX-P81,EVODEX-P115,EVODEX-P129,EVODEX-P159,EVODEX-P161",1.00783
EVODEX-M2,,"EVODEX-P2,EVODEX-P3,EVODEX-P12,EVODEX-P28,EVODEX-P29,EVODEX-P37,EVODEX-P42,EVODEX-P45,EVODEX-P68,EVODEX-P70,EVODEX-P83,EVODEX-P87,EVODEX-P88,EVODEX-P89,EVODEX-P91,EVODEX-P112,EVODEX-P123,EVODEX-P124,EVODEX-P149,EVODEX-P153",-1.00783
EVODEX-M3,,"EVODEX-P4,EVODEX-P13,EVODEX-P16,EVODEX-P22,EVODEX-P43,EVODEX-P50,EVODEX-P56,EVODEX-P62,EVODEX-P74,EVODEX-P95,EVODEX-P101,EVODEX-P104,EVODEX-P106,EVODEX-P117,EVODEX-P131,EVODEX-P138,EVODEX-P140,EVODEX-P141,EVODEX-P154,EVODEX-P163,EVODEX-P165",0.0
EVODEX-M4,,EVODEX-P5,-486.1584
EVODEX-M5,,"EVODEX-P6,EVODEX-P97",-97.97689
EVODEX-M6,,EVODEX-P7,486.1584
EVODEX-M7,,EVODEX-P8,82.08647
EVODEX-M8,,EVODEX-P9,180.06336000000002
EVODEX-M9,,"EVODEX-P11,EVODEX-P86,EVODEX-P116,EVODEX-P130,EVODEX-P160,EVODEX-P162",2.01566
EVODEX-M10,,"EVODEX-P14,EVODEX-P17,EVODEX-P99",-79.96633
EVODEX-M11,,"EVODEX-P15,EVODEX-P20",79.96633
EVODEX-M12,,EVODEX-P18,-402.02298
EVODEX-M13,,EVODEX-P19,-314.00696
EVODEX-M14,,EVODEX-P21,88.01602
EVODEX-M15,,EVODEX-P23,-126.10452
EVODEX-M16,,EVODEX-P24,-139.02695
EVODEX-M17,,EVODEX-P25,126.10452
EVODEX-M18,,"EVODEX-P26,EVODEX-P96,EVODEX-P155",-121.01639
EVODEX-M19,,"EVODEX-P27,EVODEX-P67,EVODEX-P100,EVODEX-P158,EVODEX-P170",18.010559999999998
EVODEX-M20,,"EVODEX-P30,EVODEX-P148",-1.0316900000000002
EVODEX-M21,,EVODEX-P31,71.01329
EVODEX-M22,,EVODEX-P33,-71.01329
EVODEX-M23,,EVODEX-P34,70.00546
EVODEX-M24,,"EVODEX-P35,EVODEX-P146",-19.04225
EVODEX-M25,,"EVODEX-P36,EVODEX-P57",-72.02112
EVODEX-M26,,"EVODEX-P38,EVODEX-P147",-0.0238600000000004
EVODEX-M27,,"EVODEX-P39,EVODEX-P150",-18.03442
EVODEX-M28,,"EVODEX-P40,EVODEX-P71,EVODEX-P92,EVODEX-P114,EVODEX-P152",17.00273
EVODEX-M29,,"EVODEX-P41,EVODEX-P69,EVODEX-P93,EVODEX-P145",15.9949
EVODEX-M30,,EVODEX-P44,-15.02349
EVODEX-M31,,EVODEX-P46,109.02895
EVODEX-M32,,EVODEX-P47,-385.12963
EVODEX-M33,,EVODEX-P48,-275.09285
EVODEX-M34,,"EVODEX-P49,EVODEX-P109",14.01566
EVODEX-M35,,EVODEX-P51,-146.05790000000002
EVODEX-M36,,EVODEX-P52,-443.02445
EVODEX-M37,,EVODEX-P53,-45.86604
EVODEX-M38,,EVODEX-P54,146.05790000000002
EVODEX-M39,,EVODEX-P55,397.15841
EVODEX-M40,,EVODEX-P58,-795.1103800000001
EVODEX-M41,,EVODEX-P59,72.02112
EVODEX-M42,,EVODEX-P60,-749.10492
EVODEX-M43,,"EVODEX-P61,EVODEX-P82",46.00546
EVODEX-M44,,"EVODEX-P63,EVODEX-P102,EVODEX-P157,EVODEX-P164",-162.0528
EVODEX-M45,,EVODEX-P64,-342.11616
EVODEX-M46,,EVODEX-P65,-324.1056
EVODEX-M47,,EVODEX-P66,162.0528
EVODEX-M48,,EVODEX-P72,101.08413
EVODEX-M49,,EVODEX-P73,100.0763
EVODEX-M50,,EVODEX-P75,-159.93266
EVODEX-M51,,EVODEX-P76,-347.06322
EVODEX-M52,,EVODEX-P77,175.92756
EVODEX-M53,,EVODEX-P78,159.93266
EVODEX-M54,,EVODEX-P79,522.99078
EVODEX-M55,,EVODEX-P80,90.03168000000001
EVODEX-M56,,EVODEX-P84,44.99763
EVODEX-M57,,EVODEX-P85,89.02385000000001
EVODEX-M58,,EVODEX-P90,112.03988
EVODEX-M59,,EVODEX-P94,111.03205
EVODEX-M60,,EVODEX-P98,121.01639
EVODEX-M61,,EVODEX-P103,-100.02732
EVODEX-M62,,EVODEX-P105,-18.010559999999998
EVODEX-M63,,EVODEX-P107,-14.01566
EVODEX-M64,,EVODEX-P108,-308.04099
EVODEX-M65,,EVODEX-P110,135.11453999999998
EVODEX-M66,,EVODEX-P111,443.15553
EVODEX-M67,,EVODEX-P113,786.24749
EVODEX-M68,,EVODEX-P118,-7.96868
EVODEX-M69,,EVODEX-P119,-49.96496
EVODEX-M70,,EVODEX-P120,25.97924
EVODEX-M71,,EVODEX-P121,2.033359999999998
EVODEX-M72,,EVODEX-P122,-31.954400000000003
EVODEX-M73,,"EVODEX-P125,EVODEX-P126,EVODEX-P132,EVODEX-P169",-42.01056
EVODEX-M74,,EVODEX-P127,-90.03168000000001
EVODEX-M75,,EVODEX-P128,-89.02385000000001
EVODEX-M76,,EVODEX-P133,-767.11548
EVODEX-M77,,EVODEX-P134,42.01056
EVODEX-M78,,EVODEX-P135,-630.03135
EVODEX-M79,,EVODEX-P136,137.08413000000002
EVODEX-M80,,EVODEX-P137,-43.9898
EVODEX-M81,,EVODEX-P139,-110.03678
EVODEX-M82,,EVODEX-P142,-130.02658
EVODEX-M83,,EVODEX-P143,-129.01875
EVODEX-M84,,EVODEX-P144,128.01092
EVODEX-M85,,EVODEX-P151,129.01875
EVODEX-M86,,EVODEX-P156,-180.06336000000002
EVODEX-M87,,EVODEX-P166,-464.35073
EVODEX-M88,,EVODEX-P167,-60.02112
EVODEX-M89,,EVODEX-P168,464.35073
