id,formula,sources
EVODEX-F32,"{'O': -5, 'C': -14, 'N': -6, 'S': -1, 'H': -21}",EVODEX-P47
EVODEX-F33,"{'O': -3, 'C': -8, 'N': -6, 'S': -1, 'H': -15}",EVODEX-P48
EVODEX-F34,"{'C': 1, 'H': 2}","EVODEX-P49,EVODEX-P109"
EVODEX-F35,"{'C': -6, 'O': -4, 'H': -10}",EVODEX-P51
EVODEX-F36,"{'C': -10, 'P': -2, 'N': -5, 'O': -11, 'H': -15}",EVODEX-P52
EVODEX-F37,"{'C': 5, 'P': -2, 'N': -4, 'H': 12}",EVODEX-P53
EVODEX-F38,"{'C': 6, 'O': 4, 'H': 10}",EVODEX-P54
EVODEX-F39,"{'C': 15, 'N': 1, 'O': 11, 'H': 27}",EVODEX-P55
EVODEX-F40,"{'S': -1, 'C': -22, 'P': -3, 'N': -7, 'O': -17, 'H': -36}",EVODEX-P58
EVODEX-F41,"{'O': 2, 'C': 3, 'H': 4}",EVODEX-P59
EVODEX-F42,"{'S': -1, 'C': -21, 'P': -3, 'N': -7, 'O': -15, 'H': -34}",EVODEX-P60
EVODEX-F43,"{'O': 2, 'C': 1, 'H': 2}","EVODEX-P61,EVODEX-P82"
EVODEX-F44,"{'O': -5, 'C': -6, 'H': -10}","EVODEX-P63,EVODEX-P102,EVODEX-P157,EVODEX-P164"
EVODEX-F45,"{'O': -11, 'C': -12, 'H': -22}",EVODEX-P64
EVODEX-F46,"{'O': -10, 'C': -12, 'H': -20}",EVODEX-P65
EVODEX-F47,"{'O': 5, 'C': 6, 'H': 10}",EVODEX-P66
EVODEX-F48,"{'C': 5, 'N': 1, 'O': 1, 'H': 11}",EVODEX-P72
EVODEX-F49,"{'O': 1, 'C': 5, 'N': 1, 'H': 10}",EVODEX-P73
EVODEX-F50,"{'P': -2, 'O': -6, 'H': -2}",EVODEX-P75
EVODEX-F51,"{'C': -10, 'P': -1, 'N': -5, 'O': -7, 'H': -14}",EVODEX-P76
EVODEX-F52,"{'P': 2, 'O': 7, 'H': 2}",EVODEX-P77
EVODEX-F53,"{'P': 2, 'O': 6, 'H': 2}",EVODEX-P78
EVODEX-F54,"{'C': 10, 'P': 3, 'N': 5, 'O': 14, 'H': 16}",EVODEX-P79
EVODEX-F55,"{'C': 3, 'O': 3, 'H': 6}",EVODEX-P80
EVODEX-F56,"{'C': 1, 'O': 2, 'H': 1}",EVODEX-P84
EVODEX-F57,"{'C': 3, 'O': 3, 'H': 5}",EVODEX-P85
EVODEX-F58,"{'C': 5, 'N': 1, 'O': 2, 'H': 6}",EVODEX-P90
EVODEX-F59,"{'O': 2, 'C': 5, 'N': 1, 'H': 5}",EVODEX-P94
EVODEX-F60,"{'O': 2, 'C': 6, 'N': 1, 'H': 3}",EVODEX-P98
EVODEX-F61,"{'O': -2, 'C': -3, 'N': -2, 'H': -4}",EVODEX-P103
EVODEX-F62,"{'O': -1, 'H': -2}",EVODEX-P105
EVODEX-F63,"{'C': -1, 'H': -2}",EVODEX-P107
EVODEX-F64,"{'C': -9, 'P': -1, 'N': -2, 'O': -8, 'H': -13}",EVODEX-P108
EVODEX-F65,"{'C': 10, 'P': -1, 'N': 5, 'O': -2, 'H': 8}",EVODEX-P110
EVODEX-F66,"{'C': 19, 'N': 7, 'O': 6, 'H': 21}",EVODEX-P111
EVODEX-F67,"{'O': 16, 'C': 31, 'P': 1, 'N': 6, 'H': 43}",EVODEX-P113
EVODEX-F68,"{'C': -1, 'H': 4}",EVODEX-P118
EVODEX-F69,"{'O': 1, 'S': -2, 'H': -2}",EVODEX-P119
EVODEX-F70,"{'O': 1, 'C': 1, 'H': -2}",EVODEX-P120
EVODEX-F71,"{'O': 2, 'S': -1, 'H': 2}",EVODEX-P121
EVODEX-F72,"{'O': 2, 'S': -2}",EVODEX-P122
EVODEX-F73,"{'C': -2, 'O': -1, 'H': -2}","EVODEX-P125,EVODEX-P126,EVODEX-P132,EVODEX-P169"
EVODEX-F74,"{'O': -3, 'C': -3, 'H': -6}",EVODEX-P127
EVODEX-F75,"{'C': -3, 'O': -3, 'H': -5}",EVODEX-P128
EVODEX-F76,"{'S': -1, 'C': -21, 'P': -3, 'N': -7, 'O': -16, 'H': -36}",EVODEX-P133
EVODEX-F77,"{'C': 2, 'O': 1, 'H': 2}",EVODEX-P134
EVODEX-F78,"{'S': -1, 'C': -13, 'P': -3, 'N': -6, 'O': -15, 'H': -25}",EVODEX-P135
EVODEX-F79,"{'C': 8, 'N': 1, 'O': 1, 'H': 11}",EVODEX-P136
EVODEX-F80,"{'O': -2, 'C': -1}",EVODEX-P137
EVODEX-F81,"{'O': -2, 'C': -6, 'H': -6}",EVODEX-P139
EVODEX-F82,"{'O': -4, 'C': -5, 'H': -6}",EVODEX-P142
EVODEX-F83,"{'C': -5, 'O': -4, 'H': -5}",EVODEX-P143
EVODEX-F84,"{'O': 4, 'C': 5, 'H': 4}",EVODEX-P144
EVODEX-F85,"{'C': 5, 'O': 4, 'H': 5}",EVODEX-P151
EVODEX-F86,"{'C': -6, 'O': -6, 'H': -12}",EVODEX-P156
EVODEX-F87,"{'O': -5, 'C': -24, 'P': -1, 'N': -1, 'H': -51}",EVODEX-P166
EVODEX-F88,"{'C': -2, 'O': -2, 'H': -4}",EVODEX-P167
EVODEX-F89,"{'O': 5, 'C': 24, 'P': 1, 'N': 1, 'H': 51}",EVODEX-P168
