id,formula,sources
EVODEX-F1,{'H': 1},"EVODEX-P1,EVODEX-P10,EVODEX-P32,EVODEX-P81,EVODEX-P115,EVODEX-P129,EVODEX-P159,EVODEX-P161"
EVODEX-F2,{'H': -1},"EVODEX-P2,EVODEX-P3,EVODEX-P12,EVODEX-P28,EVODEX-P29,EVODEX-P37,EVODEX-P42,EVODEX-P45,EVODEX-P68,EVODEX-P70,EVODEX-P83,EVODEX-P87,EVODEX-P88,EVODEX-P89,EVODEX-P91,EVODEX-P112,EVODEX-P123,EVODEX-P124,EVODEX-P149,EVODEX-P153"
EVODEX-F3,{},"EVODEX-P4,EVODEX-P13,EVODEX-P16,EVODEX-P22,EVODEX-P43,EVODEX-P50,EVODEX-P56,EVODEX-P62,EVODEX-P74,EVODEX-P95,EVODEX-P101,EVODEX-P104,EVODEX-P106,EVODEX-P117,EVODEX-P131,EVODEX-P138,EVODEX-P140,EVODEX-P141,EVODEX-P154,EVODEX-P163,EVODEX-P165"
EVODEX-F4,"{'O': -15, 'C': -18, 'H': -30}",EVODEX-P5
EVODEX-F5,"{'P': -1, 'O': -4, 'H': -3}","EVODEX-P6,EVODEX-P97"
EVODEX-F6,"{'O': 15, 'C': 18, 'H': 30}",EVODEX-P7
EVODEX-F7,"{'O': 2, 'C': 6, 'P': -1, 'H': 9}",EVODEX-P8
EVODEX-F8,"{'C': 6, 'O': 6, 'H': 12}",EVODEX-P9
EVODEX-F9,{'H': 2},"EVODEX-P11,EVODEX-P86,EVODEX-P116,EVODEX-P130,EVODEX-P160,EVODEX-P162"
EVODEX-F10,"{'P': -1, 'O': -3, 'H': -1}","EVODEX-P14,EVODEX-P17,EVODEX-P99"
EVODEX-F11,"{'O': 3, 'P': 1, 'H': 1}","EVODEX-P15,EVODEX-P20"
EVODEX-F12,"{'C': -10, 'P': -2, 'N': -2, 'O': -11, 'H': -16}",EVODEX-P18
EVODEX-F13,"{'C': -7, 'P': -2, 'N': -2, 'O': -8, 'H': -12}",EVODEX-P19
EVODEX-F14,"{'C': 3, 'O': 3, 'H': 4}",EVODEX-P21
EVODEX-F15,"{'C': -8, 'O': -1, 'H': -14}",EVODEX-P23
EVODEX-F16,"{'O': -3, 'C': -6, 'N': -1, 'H': -5}",EVODEX-P24
EVODEX-F17,"{'O': 1, 'C': 8, 'H': 14}",EVODEX-P25
EVODEX-F18,"{'O': -2, 'C': -6, 'N': -1, 'H': -3}","EVODEX-P26,EVODEX-P96,EVODEX-P155"
EVODEX-F19,"{'O': 1, 'H': 2}","EVODEX-P27,EVODEX-P67,EVODEX-P100,EVODEX-P158,EVODEX-P170"
EVODEX-F20,"{'O': 1, 'N': -1, 'H': -3}","EVODEX-P30,EVODEX-P148"
EVODEX-F21,"{'C': 3, 'O': 2, 'H': 3}",EVODEX-P31
EVODEX-F22,"{'C': -3, 'O': -2, 'H': -3}",EVODEX-P33
EVODEX-F23,"{'O': 2, 'C': 3, 'H': 2}",EVODEX-P34
EVODEX-F24,"{'N': -1, 'H': -5}","EVODEX-P35,EVODEX-P146"
EVODEX-F25,"{'C': -3, 'O': -2, 'H': -4}","EVODEX-P36,EVODEX-P57"
EVODEX-F26,"{'N': -1, 'O': 1, 'H': -2}","EVODEX-P38,EVODEX-P147"
EVODEX-F27,"{'N': -1, 'H': -4}","EVODEX-P39,EVODEX-P150"
EVODEX-F28,"{'O': 1, 'H': 1}","EVODEX-P40,EVODEX-P71,EVODEX-P92,EVODEX-P114,EVODEX-P152"
EVODEX-F29,{'O': 1},"EVODEX-P41,EVODEX-P69,EVODEX-P93,EVODEX-P145"
EVODEX-F30,"{'C': -1, 'H': -3}",EVODEX-P44
EVODEX-F31,"{'C': 6, 'O': 2, 'H': 5}",EVODEX-P46
