id,mass,sources
EVODEX-M1,1.00783,"EVODEX-P1,EVODEX-P32"
EVODEX-M2,-1.00783,"EVODEX-P112,EVODEX-P68,EVODEX-P88,EVODEX-P91,EVODEX-P123,EVODEX-P29,EVODEX-P3,EVODEX-P83,EVODEX-P12"
EVODEX-M3,0.0,"EVODEX-P104,EVODEX-P138,EVODEX-P43,EVODEX-P141,EVODEX-P140"
EVODEX-M4,-486.1584,EVODEX-P5
EVODEX-M5,-97.97689,"EVODEX-P97,EVODEX-P6"
EVODEX-M6,486.1584,EVODEX-P7
EVODEX-M7,82.08647,EVODEX-P8
EVODEX-M8,180.06336000000002,EVODEX-P9
EVODEX-M9,2.01566,"EVODEX-P116,EVODEX-P160,EVODEX-P11,EVODEX-P162,EVODEX-P86,EVODEX-P130"
EVODEX-M10,-79.96633,"EVODEX-P14,EVODEX-P99,EVODEX-P17"
EVODEX-M11,79.96633,"EVODEX-P20,EVODEX-P15"
EVODEX-M12,-402.02298,EVODEX-P18
EVODEX-M13,-314.00696,EVODEX-P19
EVODEX-M14,88.01602,EVODEX-P21
EVODEX-M15,-126.10452,EVODEX-P23
EVODEX-M16,-139.02695,EVODEX-P24
EVODEX-M17,126.10452,EVODEX-P25
EVODEX-M18,-121.01639,"EVODEX-P155,EVODEX-P96,EVODEX-P26"
EVODEX-M19,18.010559999999998,"EVODEX-P170,EVODEX-P27,EVODEX-P100,EVODEX-P158,EVODEX-P67"
EVODEX-M20,-1.0316900000000002,"EVODEX-P148,EVODEX-P30"
EVODEX-M23,70.00546,EVODEX-P34
EVODEX-M24,-19.04225,"EVODEX-P146,EVODEX-P35"
EVODEX-M25,-72.02112,"EVODEX-P36,EVODEX-P57"
EVODEX-M28,17.00273,EVODEX-P114
EVODEX-M29,15.9949,"EVODEX-P93,EVODEX-P69,EVODEX-P145,EVODEX-P41"
EVODEX-M30,-15.02349,EVODEX-P44
EVODEX-M31,109.02895,EVODEX-P46
EVODEX-M32,-385.12963,EVODEX-P47
EVODEX-M33,-275.09285,EVODEX-P48
EVODEX-M34,14.01566,"EVODEX-P49,EVODEX-P109"
EVODEX-M35,-146.05790000000002,EVODEX-P51
EVODEX-M36,-443.02445,EVODEX-P52
EVODEX-M37,-45.86604,EVODEX-P53
EVODEX-M38,146.05790000000002,EVODEX-P54
EVODEX-M39,397.15841,EVODEX-P55
EVODEX-M40,-795.1103800000001,EVODEX-P58
EVODEX-M41,72.02112,EVODEX-P59
EVODEX-M42,-749.10492,EVODEX-P60
EVODEX-M43,46.00546,"EVODEX-P82,EVODEX-P61"
EVODEX-M44,-162.0528,"EVODEX-P164,EVODEX-P63,EVODEX-P102,EVODEX-P157"
EVODEX-M45,-342.11616,EVODEX-P64
EVODEX-M46,-324.1056,EVODEX-P65
EVODEX-M47,162.0528,EVODEX-P66
EVODEX-M49,100.0763,EVODEX-P73
EVODEX-M50,-159.93266,EVODEX-P75
EVODEX-M51,-347.06322,EVODEX-P76
EVODEX-M52,175.92756,EVODEX-P77
EVODEX-M53,159.93266,EVODEX-P78
EVODEX-M54,522.99078,EVODEX-P79
EVODEX-M55,90.03168000000001,EVODEX-P80
EVODEX-M59,111.03205,EVODEX-P94
EVODEX-M60,121.01639,EVODEX-P98
EVODEX-M61,-100.02732,EVODEX-P103
EVODEX-M62,-18.010559999999998,EVODEX-P105
EVODEX-M63,-14.01566,EVODEX-P107
EVODEX-M64,-308.04099,EVODEX-P108
EVODEX-M65,135.11453999999998,EVODEX-P110
EVODEX-M66,443.15553,EVODEX-P111
EVODEX-M67,786.24749,EVODEX-P113
EVODEX-M68,-7.96868,EVODEX-P118
EVODEX-M69,-49.96496,EVODEX-P119
EVODEX-M70,25.97924,EVODEX-P120
EVODEX-M71,2.033359999999998,EVODEX-P121
EVODEX-M72,-31.954400000000003,EVODEX-P122
EVODEX-M73,-42.01056,"EVODEX-P169,EVODEX-P132,EVODEX-P126"
EVODEX-M74,-90.03168000000001,EVODEX-P127
EVODEX-M76,-767.11548,EVODEX-P133
EVODEX-M77,42.01056,EVODEX-P134
EVODEX-M78,-630.03135,EVODEX-P135
EVODEX-M79,137.08413000000002,EVODEX-P136
EVODEX-M80,-43.9898,EVODEX-P137
EVODEX-M81,-110.03678,EVODEX-P139
EVODEX-M82,-130.02658,EVODEX-P142
EVODEX-M84,128.01092,EVODEX-P144
EVODEX-M86,-180.06336000000002,EVODEX-P156
EVODEX-M87,-464.35073,EVODEX-P166
EVODEX-M88,-60.02112,EVODEX-P167
EVODEX-M89,464.35073,EVODEX-P168
