id,smirks,sources
EVODEX-Em1,[H][C:69]([C:54])([C:67])[O:70][H]>>[C:54][C:69]([C:67])=[O:70],"EVODEX-P3,EVODEX-P29"
EVODEX-Em2,[O:5][C:6]([O:7])([C:37])[H:53].[H][O:50][C:49]>>[C:6]([O:7])([C:37])([O:50][C:49])[H:53].[O:5],"EVODEX-P4,EVODEX-P50"
EVODEX-Em3,C[O:5][P:2]>>[H][O:5][P:2],"EVODEX-P5,EVODEX-P51,EVODEX-P96"
EVODEX-Em4,O[C:6]([O:7])([C:37])[H:53].[H][O:50][C:49]>>[C:6]([O:7])([C:37])([O:50][C:49])[H:53],"EVODEX-P6,EVODEX-P52"
EVODEX-Em5,[H][O:50][C:49]>>C[O:50][C:49],"EVODEX-P7,EVODEX-P49,EVODEX-P54"
EVODEX-Em6,O[C:6]([O:7])([C:37])[H:53]>>O[C:6]([O:7])([C:37])[H:53],"EVODEX-P8,EVODEX-P53,EVODEX-P65"
EVODEX-Em7,>>,"EVODEX-P9,EVODEX-P21,EVODEX-P27,EVODEX-P55,EVODEX-P61,EVODEX-P67,EVODEX-P79,EVODEX-P100,EVODEX-P136,EVODEX-P140,EVODEX-P141,EVODEX-P158,EVODEX-P170"
EVODEX-Em8,[C:6][C:7]([C:8])=[O:9]>>[H][C:7]([C:6])([C:8])[O:9][H],EVODEX-P11
EVODEX-Em9,[H][O:18][P:16].[O:46][P:47](=[O:48])([O:49])[O:50]>>[P:16][O:18][P:47](=[O:48])([O:49])[O:50].[O:46],EVODEX-P13
EVODEX-Em10,P[O:46][P:43]>>[H][O:46][P:43],"EVODEX-P14,EVODEX-P17,EVODEX-P75"
EVODEX-Em11,[H][O:18][P:16]>>P[O:18][P:16],EVODEX-P15
EVODEX-Em12,[H][C:1]([C:2](=[O:3])[C:4]=[O:5])([H:36])[H:37].[O:25][P:26](=[O:27])([O:28])[O:29]>>[C:1](=[C:2]([O:3][P:26](=[O:27])([O:28])[O:29])[C:4]=[O:5])([H:36])[H:37].[O:25],EVODEX-P16
EVODEX-Em13,[H][C:1]([C:2](=[O:3])[C:4]=[O:5])([H:36])[H:37].O[P:26](=[O:27])([O:28])[O:29]>>[C:1](=[C:2]([O:3][P:26](=[O:27])([O:28])[O:29])[C:4]=[O:5])([H:36])[H:37],EVODEX-P18
EVODEX-Em14,O[P:26](=[O:27])([O:28])[O:29]>>O[P:26](=[O:27])([O:28])[O:29],"EVODEX-P19,EVODEX-P77"
EVODEX-Em15,[H][C:1]([C:2](=[O:3])[C:4]=[O:5])([H:36])[H:37]>>P[O:3][C:2](=[C:1]([H:36])[H:37])[C:4]=[O:5],EVODEX-P20
EVODEX-Em16,[C:7][C:8](=[O:9])[O:10].[H][O:20][H:40]>>[C:7][C:8](=[O:9])[O:20][H:40].[O:10],EVODEX-P22
EVODEX-Em17,C[O:7][C:8]>>[H][O:7][C:8],"EVODEX-P23,EVODEX-P63,EVODEX-P102,EVODEX-P155,EVODEX-P164,EVODEX-P166"
EVODEX-Em18,O[C:8]([C:7])=[O:9].[H][O:20][H:40]>>[C:7][C:8](=[O:9])[O:20][H:40],EVODEX-P24
EVODEX-Em19,[H][O:20][H:40]>>C[O:20][H:40],"EVODEX-P25,EVODEX-P66,EVODEX-P73,EVODEX-P94,EVODEX-P98,EVODEX-P168"
EVODEX-Em20,O[C:8]([C:7])=[O:9]>>O[C:8]([C:7])=[O:9],EVODEX-P26
EVODEX-Em21,[H][C:2](N)([C:1])[C:4]=[O:5]>>O=[C:2]([C:1])[C:4]=[O:5],"EVODEX-P30,EVODEX-P148"
EVODEX-Em22,[H][O:51][H]>>O=CC=[O:51],"EVODEX-P34,EVODEX-P144"
EVODEX-Em23,[H][C:2](N)([C:1])[C:4]=[O:5].[H][O:51][H]>>[C:1][C:2]([C:4]=[O:5])=[O:51],"EVODEX-P35,EVODEX-P146"
EVODEX-Em24,C[N:3]([H:56])[H:57]>>[H][N:3]([H:56])[H:57],"EVODEX-P36,EVODEX-P142"
EVODEX-Em25,[H][C:2]([C:1])([N:3])[C:4]=[O:5].[H][O:51][H]>>[C:1][C:2]([C:4]=[O:5])=[O:51].[N:3],"EVODEX-P37,EVODEX-P149"
EVODEX-Em26,[H][C:2]([C:1])([N:3])[C:4]=[O:5]>>O=[C:2]([C:1])[C:4]=[O:5].[N:3],"EVODEX-P41,EVODEX-P145"
EVODEX-Em27,[H][O:10][C:9].[O:1]=[P:2]([O:3])([O:4])[O:5]>>[O:1]=[P:2]([O:3])([O:4])[O:10][C:9].[O:5],EVODEX-P43
EVODEX-Em28,[#6]-[#16&+:2](-[#6:3])-[#6:10]>>[#6:3]-[#16:2]-[#6:10],EVODEX-P44
EVODEX-Em29,[#85:36]-[#6:1](-[#85:37])(-[#85:38])-[#16&+:2](-[#6:3])-[#6:10].[#85]-[#8:28]-[#6:29]>>[#85:36]-[#6:1](-[#85:37])(-[#85:38])-[#8:28]-[#6:29].[#6:3]-[#16:2]-[#6:10],EVODEX-P45
EVODEX-Em30,[#6:1]-[#16&+:2](-[#6:3])-[#6:10]>>[#6:1].[#6:3]-[#16:2]-[#6:10],EVODEX-P46
EVODEX-Em31,[#85:36]-[#6:1](-[#85:37])(-[#85:38])-[#16&+].[#85]-[#8:28]-[#6:29]>>[#85:36]-[#6:1](-[#85:37])(-[#85:38])-[#8:28]-[#6:29],EVODEX-P47
EVODEX-Em32,[#85:36]-[#6:1](-[#85:37])(-[#85:38])-[#16&+]>>[#85:36]-[#6:1](-[#85:37])(-[#85:38])-[#8],EVODEX-P48
EVODEX-Em33,[C:49][C:51]([C:52])([H:94])[H:95].[H][C:57](=[O:56])[O:58]>>[C:51]([C:52])([C:57](=[O:56])[O:58])([H:94])[H:95].[C:49],EVODEX-P56
EVODEX-Em34,C[C:49]([S:48])=[O:50]>>[H][C:49]([S:48])=[O:50],EVODEX-P57
EVODEX-Em35,C[C:51]([C:52])([H:94])[H:95].[H][C:57](=[O:56])[O:58]>>[C:51]([C:52])([C:57](=[O:56])[O:58])([H:94])[H:95],EVODEX-P58
EVODEX-Em36,[H][C:57](=[O:56])[O:58]>>C[C:57](=[O:56])[O:58],"EVODEX-P59,EVODEX-P80"
EVODEX-Em37,C[C:51]([C:52])([H:94])[H:95]>>C[C:51]([C:52])([H:94])[H:95],EVODEX-P60
EVODEX-Em38,[H][O:1][H:25].[O:5][C:6]([O:7])([C:19])[H:31]>>[O:1]([C:6]([O:5])([C:19])[H:31])[H:25].[O:7],"EVODEX-P62,EVODEX-P101,EVODEX-P163"
EVODEX-Em39,[H][O:1][H:36].O[C:6]([O:5])([C:30])[H:42]>>[O:1]([C:6]([O:5])([C:30])[H:42])[H:36],EVODEX-P64
EVODEX-Em40,[H][C:6]([C:5])=[O:7].[H][O:52][H:93]>>[C:5][C:6](=[O:7])[O:52][H:93],EVODEX-P68
EVODEX-Em41,[H][C:6]([C:5])=[O:7]>>O[C:6]([C:5])=[O:7],EVODEX-P69
EVODEX-Em42,[H][O:27][C:26].[O:51][P:52](=[O:53])([O:54])[O:55]>>[C:26][O:27][P:52](=[O:53])([O:54])[O:55].[O:51],EVODEX-P74
EVODEX-Em43,[H][O:27][C:26].O[P:52](=[O:53])([O:54])[O:55]>>[C:26][O:27][P:52](=[O:53])([O:54])[O:55],EVODEX-P76
EVODEX-Em44,[H][O:27][C:26]>>P[O:27][C:26],EVODEX-P78
EVODEX-Em45,[H][C:1]([C:2](=[O:3])[C:4]=[O:5])([H:54])[H:55]>>[H][C:2]([C:1](C)([H:54])[H:55])([O:3][H])[C:4]=[O:5],EVODEX-P82
EVODEX-Em46,[H][C:1]([C:2](=[O:3])[C:4]=[O:5])([H:54])[H:55].[O:51]=[C:52]=[O:53]>>[H][C:2]([C:1]([C:52]([O:51][H])=[O:53])([H:54])[H:55])([O:3][H])[C:4]=[O:5],EVODEX-P86
EVODEX-Em47,[H][C:52]([C:51])([O:53][H])[H:91]>>[C:51][C:52](=[O:53])[H:91],EVODEX-P88
EVODEX-Em48,[H][C:52]([C:51])=[N:53].[H][O:45][H:89]>>[O:45]([C:52]([C:51])=[N:53])[H:89],EVODEX-P91
EVODEX-Em49,[H][C:52]([C:51])=[N:53]>>O[C:52]([C:51])=[N:53],EVODEX-P93
EVODEX-Em50,[C:7]:[C:8]([O:9]):[C:14].[H][O:1][H:22]>>[O:1]([C:8](:[C:7]):[C:14])[H:22].[O:9],"EVODEX-P95,EVODEX-P154"
EVODEX-Em51,O[C:8](:[C:7]):[C:14].[H][O:1][H:22]>>[O:1]([C:8](:[C:7]):[C:14])[H:22],"EVODEX-P97,EVODEX-P156"
EVODEX-Em52,O[C:8](:[C:7]):[C:14]>>O[C:8](:[C:7]):[C:14],"EVODEX-P99,EVODEX-P157"
EVODEX-Em53,C[O:8][H:14]>>[H][O:8][H:14],EVODEX-P103
EVODEX-Em54,[C:5][C:6](=[O:7])[O:8].[H][N:1]([C:2])[H:9]>>[N:1]([C:2])([C:6]([C:5])=[O:7])[H:9].[O:8],EVODEX-P104
EVODEX-Em55,O[C:6]([C:5])=[O:7].[H][N:1]([C:2])[H:9]>>[N:1]([C:2])([C:6]([C:5])=[O:7])[H:9],EVODEX-P105
EVODEX-Em56,[H][C:1]([C:2])([H:54])[H:55].[H][N:33]([C:32][C:31](=[N:30][C:26])[C:52])[C:34]>>[H][C:31]1([C:52])[N:30]([C:26])[C:1]([H:54])([H:55])[N:33]([C:34])[C:32]1.[C:2],EVODEX-P106
EVODEX-Em57,C[C:2](:[C:3]):[C:20]>>[H][C:2](:[C:3]):[C:20],"EVODEX-P107,EVODEX-P137"
EVODEX-Em58,[H][C:1](C)([H:54])[H:55].[H][N:33]([C:32][C:31](=[N:30][C:26])[C:52])[C:34]>>[H][C:31]1([C:52])[N:30]([C:26])[C:1]([H:54])([H:55])[N:33]([C:34])[C:32]1,EVODEX-P108
EVODEX-Em59,[H][N:33]([C:32][C:31](=[N:30][C:26])[C:52])[C:34]>>[H][C:31]1([C:52])[N:30]([C:26])C[N:33]([C:34])[C:32]1,EVODEX-P109
EVODEX-Em60,[H][C:1](C)([H:54])[H:55]>>N[C:1](N)([H:54])[H:55],EVODEX-P110
EVODEX-Em61,[H][C:1]([C:2])([H:54])[H:55]>>N[C:1](N)([H:54])[H:55].[C:2],EVODEX-P111
EVODEX-Em62,[H][O:55][H]>>C=[O:55],EVODEX-P113
EVODEX-Em63,[O:45]=[C:46][C:48](=[O:49])[C:50]>>[H][C:48]([C:46]=[O:45])([O:49][H])[C:50],EVODEX-P116
EVODEX-Em64,[H][O:1][H].[H][O:2][H].[S:3]=[C:4]=[S:5]>>[O:1]=[C:4]=[O:2].[H][S:3][H].[H][S:5][H],EVODEX-P117
EVODEX-Em65,C(=[S:3])=[S:5]>>[H][S:3][H].[H][S:5][H],EVODEX-P118
EVODEX-Em66,[H][O:1][H].S=[C:4]=S>>O=[C:4]=[O:1],EVODEX-P119
EVODEX-Em67,[H][O:1][H]>>O=C=[O:1],EVODEX-P120
EVODEX-Em68,S=[C:4]=[S:5]>>O=[C:4]=O.[H][S:5][H],EVODEX-P121
EVODEX-Em69,S=[C:4]=S>>O=[C:4]=O,EVODEX-P122
EVODEX-Em70,[H][O:51][C:50](=[O:49])[C:52][C:53]([H])([O:54][H])[C:55]=[O:56]>>[C:52][C:53](=[O:54])[C:55]=[O:56].[O:49]=[C:50]=[O:51],EVODEX-P123
EVODEX-Em71,[H][C:53]([C:52](C)([H:88])[H:89])([O:54][H])[C:55]=[O:56]>>[H][C:52]([C:53](=[O:54])[C:55]=[O:56])([H:88])[H:89],EVODEX-P126
EVODEX-Em72,[H][O:51][C:50](C)=[O:49]>>[O:49]=[C:50]=[O:51],"EVODEX-P127,EVODEX-P139"
EVODEX-Em73,[C:1][C:2]([C:3])=[C:4]([C:5])[H:85]>>[H][C:2]([C:1])([C:3])[C:4]([H])([C:5])[H:85],EVODEX-P130
EVODEX-Em74,[C:1][C:2](=[O:3])[S:4].[H][N:52]([C:53])[H:100]>>[C:1][C:2](=[O:3])[N:52]([C:53])[H:100].[S:4],EVODEX-P131
EVODEX-Em75,C[S:4][C:5]>>[H][S:4][C:5],EVODEX-P132
EVODEX-Em76,S[C:2]([C:1])=[O:3].[H][N:52]([C:53])[H:100]>>[C:1][C:2](=[O:3])[N:52]([C:53])[H:100],EVODEX-P133
EVODEX-Em77,[H][N:52]([C:53])[H:100]>>C[N:52]([C:53])[H:100],EVODEX-P134
EVODEX-Em78,S[C:2]([C:1])=[O:3]>>N[C:2]([C:1])=[O:3],EVODEX-P135
EVODEX-Em79,[H][O:3][C:2](=[O:1])[C:4]>>[O:1]=[C:2]=[O:3].[C:4],EVODEX-P138
EVODEX-Em80,[O:49]=[C:50]([C:51])[H:92]>>[H][O:49][C:50]([H])([C:51])[H:92],EVODEX-P160
EVODEX-Em81,[O:45]=[C:46]([O:47])[C:55]>>[H][O:45][C:46]([H])([O:47])[C:55],EVODEX-P162
EVODEX-Em82,[C:18][C:19]([C:20])([O:32])[H:72].[H][O:36][H:92]>>[C:18][C:19]([C:20])([O:36][H:92])[H:72].[O:32],EVODEX-P165
EVODEX-Em83,O[C:19]([C:18])([C:20])[H:72].[H][O:36][H:92]>>[C:18][C:19]([C:20])([O:36][H:92])[H:72],EVODEX-P167
EVODEX-Em84,O[C:19]([C:18])([C:20])[H:72]>>O[C:19]([C:18])([C:20])[H:72],EVODEX-P169
