id,smirks,sources
EVODEX-E1,[H][C@:69]([C:54])([C:67])[O:70][H]>>[C:54][C:69]([C:67])=[O:70],"EVODEX-P3,EVODEX-P29"
EVODEX-E2,[O:5][C@@:6]([O:7])([C:37])[H:53].[H][O:50][C:49]>>[C@@:6]([O:7])([C:37])([O:50][C:49])[H:53].[H][O:5],"EVODEX-P4,EVODEX-P50"
EVODEX-E3,[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:5][P:2])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[C@@]1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H]>>[H][O:5][P:2],EVODEX-P5
EVODEX-E4,[H]OP(=O)(O[H])O[C@@:6]([O:7])([C:37])[H:53].[H][O:50][C:49]>>[C@@:6]([O:7])([C:37])([O:50][C:49])[H:53],EVODEX-P6
EVODEX-E5,[H][O:50][C:49]>>[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:50][C:49])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[C@@]1([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[C@@]2([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]2([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H],EVODEX-P7
EVODEX-E6,[H]OP(=O)(O[H])O[C@@:6]([O:7])([C:37])[H:53]>>[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[C@@:6]([O:7])([C:37])[H:53],EVODEX-P8
EVODEX-E7,>>[H]OC([H])([H])[C@@]1([H])O[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O.[H],EVODEX-P9
EVODEX-E8,[C:6][C:7]([C:8])=[O:9]>>[H][C@@:7]([C:6])([C:8])[O:9][H],EVODEX-P11
EVODEX-E9,[H][O:18][P:16].[O:46][P:47](=[O:48])([O:49])[O:50]>>[P:16][O:18][P:47](=[O:48])([O:49])[O:50].[H][O:46],EVODEX-P13
EVODEX-E10,[H]OP(=O)(O[H])[O:46][P:43]>>[H][O:46][P:43],"EVODEX-P14,EVODEX-P17"
EVODEX-E11,[H][O:18][P:16]>>[H]OP(=O)(O[H])[O:18][P:16],EVODEX-P15
EVODEX-E12,[H][C:1]([C:2](=[O:3])[C:4]=[O:5])([H:36])[H:37].[O:25][P:26](=[O:27])([O:28])[O:29]>>[C:1](=[C:2]([O:3][P:26](=[O:27])([O:28])[O:29])[C:4]=[O:5])([H:36])[H:37].[H][O:25],EVODEX-P16
EVODEX-E13,[H][C:1]([C:2](=[O:3])[C:4]=[O:5])([H:36])[H:37].[H]O[C@@]1([H])C([H])([H])[C@]([H])(N2:C([H]):C(C([H])([H])[H]):C(=O):N([H]):C:2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[P:26](=[O:27])([O:28])[O:29]>>[C:1](=[C:2]([O:3][P:26](=[O:27])([O:28])[O:29])[C:4]=[O:5])([H:36])[H:37],EVODEX-P18
EVODEX-E14,[H]O[C@@]1([H])C([H])([H])[C@]([H])(N2:C([H]):C(C([H])([H])[H]):C(=O):N([H]):C:2=O)O[C@]1([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[P:26](=[O:27])([O:28])[O:29]>>[H]OC(=O)C(O[P:26](=[O:27])([O:28])[O:29])=C([H])[H],EVODEX-P19
