id,smirks,sources
EVODEX-Cm11,[O:18].[P:47]>>[O:18][P:47],"EVODEX-P13,EVODEX-P74,EVODEX-P76"
EVODEX-Cm12,[C:1][C:2]=[O:3].[P:26]>>[C:1]=[C:2][O:3][P:26],"EVODEX-P16,EVODEX-P18"
EVODEX-Cm13,[P:26]>>[P:26],"EVODEX-P19,EVODEX-P77"
EVODEX-Cm14,[C:1][C:2]=[O:3]>>[C:1]=[C:2][O:3],EVODEX-P20
EVODEX-Cm15,[#6:10]1:[#6:11]:[#6:12]:[#6:13]:[#7&+:14]:[#6:50]:1.[#8:51]>>[#8:51].[#6:10]1=[#6:50]-[#7:14]-[#6:13]=[#6:12]-[#6:11]-1,"EVODEX-P31,EVODEX-P72,EVODEX-P90,EVODEX-P151"
EVODEX-Cm16,[#7:3].[#6:10]1:[#6:11]:[#6:12]:[#6:13]:[#7&+:14]:[#6:50]:1>>[#6:10]1=[#6:50]-[#7:14]-[#6:13]=[#6:12]-[#6:11]-1.[#7:3],"EVODEX-P33,EVODEX-P143"
EVODEX-Cm17,[C:2].[O:51]>>[C:2]=[O:51],"EVODEX-P35,EVODEX-P37,EVODEX-P119,EVODEX-P146,EVODEX-P149"
EVODEX-Cm18,[N:3]>>[N:3],"EVODEX-P36,EVODEX-P134,EVODEX-P142"
EVODEX-Cm19,[#6:2].[#6:10]1:[#6:11]:[#6:12]:[#6:13]:[#7&+:14]:[#6:50]:1>>[#6:2].[#6:10]1=[#6:50]-[#7:14]-[#6:13]=[#6:12]-[#6:11]-1,"EVODEX-P38,EVODEX-P40,EVODEX-P71,EVODEX-P92,EVODEX-P147,EVODEX-P152"
EVODEX-Cm20,[#6:2].[#6:10]1:[#6:11]:[#6:12]:[#6:13]:[#7&+:14]:[#6:50]:1.[#8:51]>>[#6:2]=[#8:51].[#6:10]1=[#6:50]-[#7:14]-[#6:13]=[#6:12]-[#6:11]-1,"EVODEX-P39,EVODEX-P42,EVODEX-P150,EVODEX-P153"
EVODEX-Cm21,[O:10].[P:2]>>[P:2][O:10],EVODEX-P43
EVODEX-Cm22,[#16&+:2]>>[#16:2],"EVODEX-P44,EVODEX-P46,EVODEX-P132"
EVODEX-Cm23,[#6:1]-[#16&+:2].[#8:28]>>[#6:1]-[#8:28].[#16:2],EVODEX-P45
EVODEX-Cm24,[C:51].[C:57]>>[C:51][C:57],"EVODEX-P56,EVODEX-P58"
EVODEX-Cm25,[#6:6].[#6:11]1:[#6:12]:[#6:13]:[#6:14]:[#7&+:15]:[#6:51]:1.[#8:52]>>[#6:6]-[#8:52].[#6:11]1=[#6:51]-[#7:15]-[#6:14]=[#6:13]-[#6:12]-1,"EVODEX-P70,EVODEX-P89"
EVODEX-Cm26,[#6:1]-[#6:2]=[#8:3].[#6:10]1=[#6:11]-[#7:12]-[#6:48]=[#6:49]-[#6:50]-1.[#8:51]=[#6:52]>>[#6:1](-[#6:2]-[#8:3])-[#6:52]-[#8:51].[#6:10]1:[#6:11]:[#7&+:12]:[#6:48]:[#6:49]:[#6:50]:1,EVODEX-P81
EVODEX-Cm27,[C:1][C:2]=[O:3]>>[C:1][C:2][O:3],EVODEX-P82
EVODEX-Cm28,[#6:1]-[#6:2]=[#8:3].[#6:10]1=[#6:11]-[#7:12]-[#6:48]=[#6:49]-[#6:50]-1>>[#6:1]-[#6:2]-[#8:3].[#6:10]1:[#6:11]:[#7&+:12]:[#6:48]:[#6:49]:[#6:50]:1,EVODEX-P84
EVODEX-Cm29,[C:1][C:2]=[O:3].[O:51]=[C:52]>>[C:1]([C:2][O:3])[C:52][O:51],EVODEX-P86
EVODEX-Cm30,[C:6].[N:1]>>[N:1][C:6],"EVODEX-P104,EVODEX-P105"
EVODEX-Cm31,[C:1].[N:30]=[C:31].[N:33]>>[C:1]([N:30][C:31])[N:33],"EVODEX-P106,EVODEX-P108"
EVODEX-Cm32,[N:30]=[C:31].[N:33]>>[N:30][C:31].[N:33],EVODEX-P109
EVODEX-Cm33,[#7&+:12]=[#6:13].[#8:55]>>[#7:12]-[#6:13]=[#8:55],EVODEX-P112
EVODEX-Cm34,[#7&+:12]=[#6:13]>>[#7:12]-[#6:13],EVODEX-P114
EVODEX-Cm35,[O:1].[O:2].[S:3]=[C:4]=[S:5]>>[O:1]=[C:4]=[O:2].[S:3].[S:5],EVODEX-P117
EVODEX-Cm36,[S:3].[S:5]>>[S:3].[S:5],EVODEX-P118
EVODEX-Cm37,[C:4]=[S:5]>>[C:4].[S:5],EVODEX-P121
EVODEX-Cm38,[C:50][O:51].[C:53][O:54]>>[C:53]=[O:54].[C:50]=[O:51],EVODEX-P123
EVODEX-Cm39,[#6:4]1:[#6:5]:[#6:6]:[#6:7]:[#7&+:8]:[#6:48]:1.([#8:51]-[#6:50].[#6:53]-[#8:54])>>[#6:53]=[#8:54].[#6:4]1=[#6:48]-[#7:8]-[#6:7]=[#6:6]-[#6:5]-1.[#6:50]=[#8:51],EVODEX-P124
EVODEX-Cm40,[#6:4]1:[#6:5]:[#6:6]:[#6:7]:[#7&+:8]:[#6:48]:1.[#6:52]-[#6:53]-[#8:54]>>[#6:52]-[#6:53]=[#8:54].[#6:4]1=[#6:48]-[#7:8]-[#6:7]=[#6:6]-[#6:5]-1,EVODEX-P125
EVODEX-Cm41,[C:52][C:53][O:54]>>[C:52][C:53]=[O:54],EVODEX-P126
EVODEX-Cm42,[#6:2]=[#6:4].[#6:34]1=[#6:35]-[#7:36]-[#6:76]=[#6:77]-[#6:78]-1>>[#6:2]-[#6:4].[#6:34]1:[#6:35]:[#7&+:36]:[#6:76]:[#6:77]:[#6:78]:1,EVODEX-P129
EVODEX-Cm43,[C:2]=[C:4]>>[C:2][C:4],EVODEX-P130
EVODEX-Cm44,[C:2].[N:52]>>[C:2][N:52],"EVODEX-P131,EVODEX-P133"
