id,smirks,sources
EVODEX-Cm1,[#6:4]1:[#6:5]:[#6:6]:[#6:7]:[#7&+:8]:[#6:48]:1>>[#6:4]1=[#6:48]-[#7:8]-[#6:7]=[#6:6]-[#6:5]-1,"EVODEX-P1,EVODEX-P32"
EVODEX-Cm2,[#6:4]1:[#6:5]:[#6:6]:[#6:7]:[#7&+:8]:[#6:48]:1.[#6:69]-[#8:70]>>[#6:4]1=[#6:48]-[#7:8]-[#6:7]=[#6:6]-[#6:5]-1.[#6:69]=[#8:70],"EVODEX-P2,EVODEX-P28,EVODEX-P87,EVODEX-P128"
EVODEX-Cm3,[C:69][O:70]>>[C:69]=[O:70],"EVODEX-P3,EVODEX-P29,EVODEX-P88,EVODEX-P127,EVODEX-P138,EVODEX-P139"
EVODEX-Cm4,[O:1].[C:6]>>[O:1][C:6],"EVODEX-P4,EVODEX-P6,EVODEX-P22,EVODEX-P24,EVODEX-P47,EVODEX-P50,EVODEX-P52,EVODEX-P62,EVODEX-P64,EVODEX-P68,EVODEX-P91,EVODEX-P95,EVODEX-P97,EVODEX-P101,EVODEX-P154,EVODEX-P156,EVODEX-P163,EVODEX-P165,EVODEX-P167"
EVODEX-Cm5,[O:7]>>[O:7],"EVODEX-P5,EVODEX-P7,EVODEX-P14,EVODEX-P15,EVODEX-P17,EVODEX-P23,EVODEX-P25,EVODEX-P34,EVODEX-P49,EVODEX-P51,EVODEX-P54,EVODEX-P63,EVODEX-P66,EVODEX-P73,EVODEX-P75,EVODEX-P78,EVODEX-P94,EVODEX-P96,EVODEX-P98,EVODEX-P102,EVODEX-P103,EVODEX-P113,EVODEX-P120,EVODEX-P144,EVODEX-P155,EVODEX-P164,EVODEX-P166,EVODEX-P168"
EVODEX-Cm6,[C:6]>>[C:6],"EVODEX-P8,EVODEX-P26,EVODEX-P30,EVODEX-P41,EVODEX-P48,EVODEX-P53,EVODEX-P57,EVODEX-P59,EVODEX-P60,EVODEX-P65,EVODEX-P69,EVODEX-P93,EVODEX-P99,EVODEX-P107,EVODEX-P110,EVODEX-P111,EVODEX-P122,EVODEX-P135,EVODEX-P137,EVODEX-P145,EVODEX-P148,EVODEX-P157,EVODEX-P169"
EVODEX-Cm7,>>,"EVODEX-P9,EVODEX-P21,EVODEX-P27,EVODEX-P55,EVODEX-P61,EVODEX-P67,EVODEX-P79,EVODEX-P100,EVODEX-P136,EVODEX-P140,EVODEX-P141,EVODEX-P158,EVODEX-P170"
EVODEX-Cm8,[#6:7]=[#8:9].[#6:13]1=[#6:14]-[#7:15]-[#6:55]=[#6:56]-[#6:57]-1>>[#6:7]-[#8:9].[#6:13]1:[#6:14]:[#7&+:15]:[#6:55]:[#6:56]:[#6:57]:1,"EVODEX-P10,EVODEX-P85,EVODEX-P115,EVODEX-P159,EVODEX-P161"
EVODEX-Cm9,[C:7]=[O:9]>>[C:7][O:9],"EVODEX-P11,EVODEX-P80,EVODEX-P116,EVODEX-P160,EVODEX-P162"
EVODEX-Cm10,[#6:13]1=[#6:14]-[#7:15]-[#6:55]=[#6:56]-[#6:57]-1>>[#6:13]1:[#6:14]:[#7&+:15]:[#6:55]:[#6:56]:[#6:57]:1,"EVODEX-P12,EVODEX-P83"
