id,formula,sources,mass
EVODEX-M1,,"EVODEX-P1,EVODEX-P7,EVODEX-P20,EVODEX-P43,EVODEX-P49,EVODEX-P50,EVODEX-P59,EVODEX-P65,EVODEX-P71,EVODEX-P77,EVODEX-P86,EVODEX-P92,EVODEX-P102,EVODEX-P110,EVODEX-P119,EVODEX-P133,EVODEX-P134,EVODEX-P140,EVODEX-P146,EVODEX-P152,EVODEX-P166,EVODEX-P168,EVODEX-P176,EVODEX-P185,EVODEX-P191,EVODEX-P192,EVODEX-P198,EVODEX-P199,EVODEX-P205,EVODEX-P216,EVODEX-P223,EVODEX-P229,EVODEX-P231,EVODEX-P233,EVODEX-P239,EVODEX-P244,EVODEX-P249,EVODEX-P252,EVODEX-P253,EVODEX-P258,EVODEX-P275,EVODEX-P278,EVODEX-P281,EVODEX-P288,EVODEX-P290,EVODEX-P291,EVODEX-P296,EVODEX-P299,EVODEX-P302,EVODEX-P305,EVODEX-P311,EVODEX-P318,EVODEX-P322,EVODEX-P335,EVODEX-P352,EVODEX-P354,EVODEX-P359,EVODEX-P360,EVODEX-P361,EVODEX-P364,EVODEX-P369,EVODEX-P373,EVODEX-P381,EVODEX-P385,EVODEX-P399,EVODEX-P401,EVODEX-P402,EVODEX-P410,EVODEX-P413,EVODEX-P424,EVODEX-P436,EVODEX-P450,EVODEX-P459,EVODEX-P463,EVODEX-P470,EVODEX-P488,EVODEX-P499,EVODEX-P505,EVODEX-P511,EVODEX-P517,EVODEX-P527,EVODEX-P533,EVODEX-P553,EVODEX-P559,EVODEX-P570,EVODEX-P574,EVODEX-P579,EVODEX-P584,EVODEX-P589,EVODEX-P595,EVODEX-P601,EVODEX-P607,EVODEX-P613,EVODEX-P648,EVODEX-P662,EVODEX-P668,EVODEX-P676,EVODEX-P682,EVODEX-P687,EVODEX-P694,EVODEX-P700,EVODEX-P717,EVODEX-P723,EVODEX-P729,EVODEX-P735,EVODEX-P741,EVODEX-P747,EVODEX-P753,EVODEX-P756,EVODEX-P761,EVODEX-P781,EVODEX-P787,EVODEX-P793,EVODEX-P799,EVODEX-P805,EVODEX-P807,EVODEX-P812,EVODEX-P817,EVODEX-P831,EVODEX-P836,EVODEX-P844,EVODEX-P850,EVODEX-P862,EVODEX-P867,EVODEX-P880,EVODEX-P886,EVODEX-P892,EVODEX-P893,EVODEX-P899,EVODEX-P906,EVODEX-P908,EVODEX-P914,EVODEX-P919,EVODEX-P926,EVODEX-P933,EVODEX-P939,EVODEX-P941,EVODEX-P952,EVODEX-P954,EVODEX-P956,EVODEX-P958,EVODEX-P965,EVODEX-P967,EVODEX-P977,EVODEX-P982,EVODEX-P999,EVODEX-P1004,EVODEX-P1009,EVODEX-P1011,EVODEX-P1016,EVODEX-P1022,EVODEX-P1027,EVODEX-P1033,EVODEX-P1039,EVODEX-P1047,EVODEX-P1049,EVODEX-P1054,EVODEX-P1066,EVODEX-P1083,EVODEX-P1088,EVODEX-P1094,EVODEX-P1098,EVODEX-P1100,EVODEX-P1106,EVODEX-P1111,EVODEX-P1119,EVODEX-P1127,EVODEX-P1134,EVODEX-P1136,EVODEX-P1153,EVODEX-P1159,EVODEX-P1181,EVODEX-P1182,EVODEX-P1194,EVODEX-P1199,EVODEX-P1204,EVODEX-P1214,EVODEX-P1220,EVODEX-P1224,EVODEX-P1229,EVODEX-P1230,EVODEX-P1236,EVODEX-P1239,EVODEX-P1251,EVODEX-P1257,EVODEX-P1263,EVODEX-P1268,EVODEX-P1280,EVODEX-P1282,EVODEX-P1285,EVODEX-P1291,EVODEX-P1299,EVODEX-P1307,EVODEX-P1312,EVODEX-P1320,EVODEX-P1327,EVODEX-P1335,EVODEX-P1352,EVODEX-P1357,EVODEX-P1363,EVODEX-P1370,EVODEX-P1378,EVODEX-P1385,EVODEX-P1390,EVODEX-P1397,EVODEX-P1411,EVODEX-P1418,EVODEX-P1423,EVODEX-P1428,EVODEX-P1440,EVODEX-P1446,EVODEX-P1452,EVODEX-P1453,EVODEX-P1461,EVODEX-P1472,EVODEX-P1477,EVODEX-P1490,EVODEX-P1496,EVODEX-P1517,EVODEX-P1518,EVODEX-P1523,EVODEX-P1529,EVODEX-P1535,EVODEX-P1537,EVODEX-P1543,EVODEX-P1549,EVODEX-P1554,EVODEX-P1559,EVODEX-P1564,EVODEX-P1580,EVODEX-P1591,EVODEX-P1597,EVODEX-P1610,EVODEX-P1616,EVODEX-P1622,EVODEX-P1628,EVODEX-P1634,EVODEX-P1640,EVODEX-P1646,EVODEX-P1657,EVODEX-P1676,EVODEX-P1681,EVODEX-P1686,EVODEX-P1692,EVODEX-P1697,EVODEX-P1699,EVODEX-P1718,EVODEX-P1724,EVODEX-P1729,EVODEX-P1741,EVODEX-P1752,EVODEX-P1770,EVODEX-P1776,EVODEX-P1778,EVODEX-P1783,EVODEX-P1789,EVODEX-P1796,EVODEX-P1797,EVODEX-P1798,EVODEX-P1799,EVODEX-P1805,EVODEX-P1824,EVODEX-P1841,EVODEX-P1851,EVODEX-P1856,EVODEX-P1868,EVODEX-P1872,EVODEX-P1878,EVODEX-P1883,EVODEX-P1895,EVODEX-P1903",0.0
EVODEX-M2,,EVODEX-P2,-67.04225000000001
EVODEX-M3,,"EVODEX-P3,EVODEX-P51,EVODEX-P178,EVODEX-P513,EVODEX-P572,EVODEX-P758,EVODEX-P1006,EVODEX-P1593,EVODEX-P1742",-180.06336000000002
EVODEX-M4,,EVODEX-P4,67.04225000000001
EVODEX-M5,,"EVODEX-P5,EVODEX-P52,EVODEX-P95,EVODEX-P111,EVODEX-P113,EVODEX-P177,EVODEX-P425,EVODEX-P512,EVODEX-P571,EVODEX-P669,EVODEX-P733,EVODEX-P759,EVODEX-P782,EVODEX-P806,EVODEX-P813,EVODEX-P1005,EVODEX-P1099,EVODEX-P1321,EVODEX-P1386,EVODEX-P1592,EVODEX-P1595,EVODEX-P1873",-162.0528
EVODEX-M6,,"EVODEX-P6,EVODEX-P13,EVODEX-P27,EVODEX-P48,EVODEX-P55,EVODEX-P64,EVODEX-P70,EVODEX-P91,EVODEX-P139,EVODEX-P179,EVODEX-P190,EVODEX-P197,EVODEX-P204,EVODEX-P277,EVODEX-P286,EVODEX-P327,EVODEX-P330,EVODEX-P358,EVODEX-P363,EVODEX-P371,EVODEX-P419,EVODEX-P455,EVODEX-P504,EVODEX-P510,EVODEX-P522,EVODEX-P532,EVODEX-P552,EVODEX-P558,EVODEX-P573,EVODEX-P606,EVODEX-P653,EVODEX-P667,EVODEX-P681,EVODEX-P734,EVODEX-P755,EVODEX-P760,EVODEX-P798,EVODEX-P811,EVODEX-P816,EVODEX-P841,EVODEX-P855,EVODEX-P866,EVODEX-P872,EVODEX-P891,EVODEX-P904,EVODEX-P913,EVODEX-P924,EVODEX-P972,EVODEX-P987,EVODEX-P1021,EVODEX-P1032,EVODEX-P1060,EVODEX-P1093,EVODEX-P1105,EVODEX-P1132,EVODEX-P1141,EVODEX-P1158,EVODEX-P1161,EVODEX-P1193,EVODEX-P1219,EVODEX-P1235,EVODEX-P1238,EVODEX-P1243,EVODEX-P1267,EVODEX-P1324,EVODEX-P1332,EVODEX-P1356,EVODEX-P1394,EVODEX-P1403,EVODEX-P1434,EVODEX-P1495,EVODEX-P1498,EVODEX-P1528,EVODEX-P1584,EVODEX-P1596,EVODEX-P1627,EVODEX-P1633,EVODEX-P1639,EVODEX-P1645,EVODEX-P1650,EVODEX-P1723,EVODEX-P1728,EVODEX-P1788,EVODEX-P1793,EVODEX-P1804,EVODEX-P1823,EVODEX-P1847,EVODEX-P1888,EVODEX-P1900",18.010559999999998
EVODEX-M7,,"EVODEX-P8,EVODEX-P868,EVODEX-P1405,EVODEX-P1429",-19.04225
EVODEX-M8,,"EVODEX-P9,EVODEX-P395,EVODEX-P565,EVODEX-P1304,EVODEX-P1406,EVODEX-P1430,EVODEX-P1483",-1.0316900000000002
EVODEX-M9,,"EVODEX-P10,EVODEX-P323,EVODEX-P451,EVODEX-P534,EVODEX-P650,EVODEX-P869,EVODEX-P1029,EVODEX-P1399,EVODEX-P1431,EVODEX-P1725",-17.02659
EVODEX-M10,,"EVODEX-P11,EVODEX-P131,EVODEX-P155,EVODEX-P440,EVODEX-P773,EVODEX-P779,EVODEX-P870,EVODEX-P944,EVODEX-P1058,EVODEX-P1198,EVODEX-P1208,EVODEX-P1400,EVODEX-P1432,EVODEX-P1502,EVODEX-P1512,EVODEX-P1532,EVODEX-P1598,EVODEX-P1664,EVODEX-P1740,EVODEX-P1760,EVODEX-P1893",15.9949
