id,smirks,sources
EVODEX-C1,[C:2].[H][O:12]>>[H].[C:2][O:12],"EVODEX-P1,EVODEX-P43,EVODEX-P50,EVODEX-P77,EVODEX-P86,EVODEX-P110,EVODEX-P129,EVODEX-P134,EVODEX-P176,EVODEX-P185,EVODEX-P199,EVODEX-P233,EVODEX-P244,EVODEX-P281,EVODEX-P305,EVODEX-P322,EVODEX-P354,EVODEX-P361,EVODEX-P369,EVODEX-P424,EVODEX-P450,EVODEX-P499,EVODEX-P505,EVODEX-P511,EVODEX-P517,EVODEX-P553,EVODEX-P570,EVODEX-P595,EVODEX-P601,EVODEX-P648,EVODEX-P662,EVODEX-P668,EVODEX-P717,EVODEX-P723,EVODEX-P729,EVODEX-P753,EVODEX-P756,EVODEX-P781,EVODEX-P787,EVODEX-P793,EVODEX-P805,EVODEX-P807,EVODEX-P812,EVODEX-P831,EVODEX-P850,EVODEX-P862,EVODEX-P886,EVODEX-P899,EVODEX-P908,EVODEX-P919,EVODEX-P967,EVODEX-P982,EVODEX-P1004,EVODEX-P1016,EVODEX-P1027,EVODEX-P1033,EVODEX-P1083,EVODEX-P1088,EVODEX-P1098,EVODEX-P1100,EVODEX-P1127,EVODEX-P1153,EVODEX-P1165,EVODEX-P1197,EVODEX-P1207,EVODEX-P1214,EVODEX-P1224,EVODEX-P1239,EVODEX-P1282,EVODEX-P1285,EVODEX-P1307,EVODEX-P1320,EVODEX-P1327,EVODEX-P1352,EVODEX-P1363,EVODEX-P1385,EVODEX-P1390,EVODEX-P1411,EVODEX-P1461,EVODEX-P1490,EVODEX-P1496,EVODEX-P1511,EVODEX-P1580,EVODEX-P1591,EVODEX-P1622,EVODEX-P1628,EVODEX-P1634,EVODEX-P1640,EVODEX-P1646,EVODEX-P1657,EVODEX-P1718,EVODEX-P1724,EVODEX-P1741,EVODEX-P1752,EVODEX-P1758,EVODEX-P1783,EVODEX-P1799,EVODEX-P1851,EVODEX-P1872,EVODEX-P1883,EVODEX-P1891,EVODEX-P1895,EVODEX-P1903"
EVODEX-C2,[H]C([H])([H])C(C#N)(C([H])([H])[H])[O:6]>>[H][O:6],EVODEX-P2
EVODEX-C3,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(O[C:2])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H].[H][O:18]>>[C:2][O:18],"EVODEX-P3,EVODEX-P513,EVODEX-P758,EVODEX-P1006,EVODEX-P1593,EVODEX-P1742"
EVODEX-C4,[H][O:18]>>[H]C([H])([H])C(C#N)(C([H])([H])[H])[O:18],EVODEX-P4
EVODEX-C5,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(O[C:2])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]>>[H]O[C:2],"EVODEX-P5,EVODEX-P759,EVODEX-P1595"
EVODEX-C6,>>[H]O.[H],"EVODEX-P6,EVODEX-P27,EVODEX-P48,EVODEX-P55,EVODEX-P64,EVODEX-P70,EVODEX-P91,EVODEX-P139,EVODEX-P190,EVODEX-P197,EVODEX-P204,EVODEX-P286,EVODEX-P327,EVODEX-P358,EVODEX-P363,EVODEX-P371,EVODEX-P455,EVODEX-P504,EVODEX-P510,EVODEX-P522,EVODEX-P532,EVODEX-P552,EVODEX-P558,EVODEX-P573,EVODEX-P606,EVODEX-P653,EVODEX-P667,EVODEX-P681,EVODEX-P734,EVODEX-P755,EVODEX-P760,EVODEX-P798,EVODEX-P811,EVODEX-P816,EVODEX-P841,EVODEX-P855,EVODEX-P866,EVODEX-P891,EVODEX-P904,EVODEX-P913,EVODEX-P924,EVODEX-P972,EVODEX-P987,EVODEX-P1021,EVODEX-P1032,EVODEX-P1093,EVODEX-P1105,EVODEX-P1132,EVODEX-P1141,EVODEX-P1158,EVODEX-P1219,EVODEX-P1235,EVODEX-P1243,EVODEX-P1267,EVODEX-P1324,EVODEX-P1332,EVODEX-P1356,EVODEX-P1394,EVODEX-P1495,EVODEX-P1498,EVODEX-P1519,EVODEX-P1584,EVODEX-P1596,EVODEX-P1627,EVODEX-P1633,EVODEX-P1639,EVODEX-P1645,EVODEX-P1650,EVODEX-P1723,EVODEX-P1728,EVODEX-P1788,EVODEX-P1793,EVODEX-P1804,EVODEX-P1823,EVODEX-P1888,EVODEX-P1900"
EVODEX-C7,[H][C:2].[O:11]=[O:12].[H][O:10][H]>>[C:2]=[O:10].[H].[H][O:11][O:12][H],"EVODEX-P7,EVODEX-P867,EVODEX-P1054,EVODEX-P1397,EVODEX-P1428"
EVODEX-C8,[H]N([H])[C:2][H].[H][O:10][H]>>[C:2]=[O:10],"EVODEX-P8,EVODEX-P868,EVODEX-P1405,EVODEX-P1429"
EVODEX-C9,[H]N([H])[C:2][H]>>O=[C:2],"EVODEX-P9,EVODEX-P565,EVODEX-P1304,EVODEX-P1406,EVODEX-P1430,EVODEX-P1483"
EVODEX-C10,[H]N([H])[C:2][H].[O:11]=[O:12].[H][O:10][H]>>[C:2]=[O:10].[H][O:11][O:12][H],"EVODEX-P10,EVODEX-P869,EVODEX-P1399,EVODEX-P1431"
